#ZVView-data-copy:  30-May-2023 21:59:27
#=======================================
#
#name:   40-ZR-94(N,A)38-SR-91,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  86
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          6.48        0.189         7e-5         2e-5  # 1990,M.Ibn Majah+        ## 22144006  #dY:28.6%  
          7.18        0.127      0.00019         4e-5  # 1990,M.Ibn Majah+        ## 22144006  #dY:21.1%  
         7.704         0.13      0.00023         4e-5  # 1990,M.Ibn Majah+        ## 22144006  #dY:17.4%  
           8.2            0      0.00045      0.00015  # 1991,P.Raics+            ## 30988006  #dY:33.3%  
         8.215        0.128      0.00041         5e-5  # 1990,M.Ibn Majah+        ## 22144012  #dY:12.2%  
          8.43            0      0.00029      0.00011  # 1991,P.Raics+            ## 30988006  #dY:37.9%  
         8.716         0.14      0.00063         7e-5  # 1990,M.Ibn Majah+        ## 22144012  #dY:11.1%  
          8.92            0      0.00043         9e-5  # 1991,P.Raics+            ## 30988006  #dY:20.9%  
         9.187        0.188      0.00079      0.00011  # 1990,M.Ibn Majah+        ## 22144012  #dY:13.9%  
          9.43            0      0.00085      0.00028  # 1991,P.Raics+            ## 30988006  #dY:32.9%  
         9.643        0.214      0.00088      0.00012  # 1990,M.Ibn Majah+        ## 22144012  #dY:13.6%  
        10.127        0.226      0.00143      0.00015  # 1990,M.Ibn Majah+        ## 22144012  #dY:10.5%  
         10.23            0      0.00106      0.00018  # 1991,P.Raics+            ## 30988006  #dY:17.0%  
        10.614        0.221      0.00181       0.0002  # 1990,M.Ibn Majah+        ## 22144012  #dY:11.0%  
         10.95            0       0.0013      0.00013  # 1991,P.Raics+            ## 30988006  #dY:10.0%  
         11.34         0.22      0.00177         9e-5  # 1998,R.Doczi+            ## 31495006  #dY:5.1%   
         11.44         0.21       0.0026       0.0002  # 2001,M.Ibn Majah+        ## 22664009  #dY:7.7%   
         11.56            0      0.00146      0.00055  # 1991,P.Raics+            ## 30988006  #dY:37.7%  
         12.13        0.075       0.0024       0.0002  # 1961,B.P.Bayhurst+       ## 11462012  #dY:8.3%   
         12.25            0      0.00272      0.00019  # 1991,P.Raics+            ## 30988006  #dY:7.0%   
         12.37          0.2       0.0041       0.0003  # 2001,M.Ibn Majah+        ## 22664009  #dY:7.3%   
         12.53         0.25      0.00235      0.00021  # 1998,R.Doczi+            ## 31495006  #dY:8.9%   
         13.33        0.115       0.0045       0.0003  # 1961,B.P.Bayhurst+       ## 11462012  #dY:6.7%   
         13.34            0      0.00363      0.00031  # 1988,Y.Ikeda+            ## 22089061  #dY:8.5%   
          13.4          0.4       0.0035       0.0008  # 1990,A.Marcinkowski+     ## 30940007  #dY:22.9%  
         13.52        0.075        0.005       0.0004  # 1961,B.P.Bayhurst+       ## 11462012  #dY:8.0%   
         13.56            0      0.00421    0.0005052  # 2016,A.A.Filatenkov      ## 41614062  #dY:12.0%  
         13.57            0      0.00392      0.00035  # 1988,Y.Ikeda+            ## 22089061  #dY:8.9%   
          13.6          0.3        0.004       0.0006  # 1990,A.Marcinkowski+     ## 30940007  #dY:15.0%  
         13.64            0       0.0041       0.0004  # 1991,N.I.Molla+          ## 30985010  #dY:9.8%   
         13.69         0.05       0.0047       0.0003  # 1961,B.P.Bayhurst+       ## 11462012  #dY:6.4%   
         13.74            0      0.00453     0.000453  # 2016,A.A.Filatenkov      ## 41614062  #dY:10.0%  
         13.88         0.05        0.005       0.0004  # 1961,B.P.Bayhurst+       ## 11462012  #dY:8.0%   
         13.88            0       0.0051       0.0004  # 1991,N.I.Molla+          ## 30985010  #dY:7.8%   
         13.96            0      0.00476   0.00036842  # 2016,A.A.Filatenkov      ## 41614062  #dY:7.7%   
         13.99            0      0.00403      0.00037  # 1988,Y.Ikeda+            ## 22089061  #dY:9.2%   
            14            0       0.0036       0.0005  # 1955,H.G.Blosser+        ## 11803004  #dY:13.9%  
            14            0       0.0047       0.0008  # 1964,V.N.Levkovskii      ## 40016014  #dY:17.0%  
         14.01         0.05       0.0052       0.0004  # 1961,B.P.Bayhurst+       ## 11462012  #dY:7.7%   
          14.1            0       0.0049       0.0006  # 1955,J.E.Brolley Jr+     ## 11860003  #dY:12.2%  
          14.1            0      0.00399      0.00016  # 1960,C.H.Reed            ## 11896012  #dY:4.0%   
          14.1            0       0.0057       0.0006  # 1991,N.I.Molla+          ## 30985010  #dY:10.5%  
