#ZVView-data-copy:  30-May-2023 22:13:24
#=======================================
#
#name:   47-AG-107(N,2N)47-AG-106-M,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  63
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
            10          0.3      0.00196    0.0001764  # 1996,J.W.Meadows+        ## 13586006  #dY:9.0%   
         10.35          0.1        0.035        0.007  # 1960,H.A.Tewes+          ## 11504012  #dY:20.0%  
            11          0.1        0.106       0.0212  # 1960,H.A.Tewes+          ## 11504012  #dY:20.0%  
          11.5          0.1        0.171       0.0342  # 1960,H.A.Tewes+          ## 11504012  #dY:20.0%  
          12.1          0.1        0.232       0.0464  # 1960,H.A.Tewes+          ## 11504012  #dY:20.0%  
          12.3          0.1        0.296       0.0592  # 1960,H.A.Tewes+          ## 11504012  #dY:20.0%  
            13          0.1        0.394       0.0788  # 1960,H.A.Tewes+          ## 11504012  #dY:20.0%  
         13.34            0        0.447        0.027  # 1993,C.Konno+            ## 22637046  #dY:6.0%   
         13.41         0.05        0.495        0.025  # 1975,B.P.Bayhurst+       ## 10536018  #dY:5.1%   
          13.5          0.2        0.429        0.015  # 2009,Junhua Luo+         ## 31672003  #dY:3.5%   
          13.5            0        0.469        0.022  # 1988,Wang Huamin+        ## 32501002  #dY:4.7%   
         13.57            0        0.467        0.028  # 1993,C.Konno+            ## 22637046  #dY:6.0%   
          13.6            0         0.48        0.022  # 1988,Wang Huamin+        ## 32501002  #dY:4.6%   
         13.74            0        0.545     0.018203  # 2016,A.A.Filatenkov      ## 41614098  #dY:3.3%   
         13.75            0        0.488        0.029  # 1993,C.Konno+            ## 22637046  #dY:5.9%   
         13.85          0.1        0.468       0.0936  # 1960,H.A.Tewes+          ## 11504012  #dY:20.0%  
          13.9            0        0.503        0.024  # 1988,Wang Huamin+        ## 32501002  #dY:4.8%   
         13.96            0        0.582     0.019148  # 2016,A.A.Filatenkov      ## 41614098  #dY:3.3%   
         13.98            0        0.469        0.028  # 1993,C.Konno+            ## 22637046  #dY:6.0%   
            14          0.1        0.495        0.099  # 1960,H.A.Tewes+          ## 11504012  #dY:20.0%  
            14            0          0.6          0.1  # 1961,H.Vonach            ## 20089002  #dY:16.7%  
         14.07         0.17        0.536        0.007  # 1975,W.Mannhart+         ## 20611011  #dY:1.3%   
          14.1         0.05        0.573        0.029  # 1975,B.P.Bayhurst+       ## 10536018  #dY:5.1%   
          14.1         0.05        0.563        0.023  # 1981,J.Laurec+           ## 21709006  #dY:4.1%   
          14.1          0.2        0.519        0.016  # 2009,Junhua Luo+         ## 31672003  #dY:3.1%   
          14.1            0        0.538        0.025  # 1988,Wang Huamin+        ## 32501002  #dY:4.6%   
         14.19            0        0.603      0.02002  # 2016,A.A.Filatenkov      ## 41614098  #dY:3.3%   
         14.22            0        0.525        0.032  # 1993,C.Konno+            ## 22637046  #dY:6.1%   
          14.3            0        0.608        0.022  # 1988,T.B.Ryves+          ## 22100004  #dY:3.6%   
         14.35            0        0.555        0.025  # 1988,Wang Huamin+        ## 32501002  #dY:4.5%   
         14.42            0        0.593     0.020043  # 2016,A.A.Filatenkov      ## 41614098  #dY:3.4%   
         14.43            0        0.527        0.032  # 1993,C.Konno+            ## 22637046  #dY:6.1%   
          14.5          0.1         0.52        0.104  # 1960,H.A.Tewes+          ## 11504012  #dY:20.0%  
          14.5          0.2        0.547     0.008205  # 1987,L.R.Greenwood       ## 12977021  #dY:1.5%   
          14.5          0.3         0.57        0.017  # 1991,J.Csikai+           ## 22205003  #dY:3.0%   
          14.5          0.3        0.534         0.02  # 1991,J.Csikai+           ## 22205003  #dY:3.7%   
         14.61            0          0.6      0.02004  # 2016,A.A.Filatenkov      ## 41614098  #dY:3.3%   
         14.65            0        0.604        0.048  # 1982,A.Reggoug+          ## 30698012  #dY:7.9%   
         14.67            0        0.538        0.032  # 1993,C.Konno+            ## 22637046  #dY:5.9%   
          14.7        0.075        0.604         0.02  # 1968,H.K.Vonach+         ## 20815019  #dY:3.3%   
          14.7            0        0.653         0.03  # 1968,B.Minetti+          ## 20891019  #dY:4.6%   
         14.73         0.05         0.56        0.046  # 1992,M.Belgaid+          ## 31524018  #dY:8.2%   
         14.73            0        0.572        0.026  # 1988,Wang Huamin+        ## 32501002  #dY:4.5%   
         14.78            0        0.603     0.019115  # 2016,A.A.Filatenkov      ## 41614098  #dY:3.2%   
          14.8          0.2        0.551     0.008265  # 1987,L.R.Greenwood       ## 12977021  #dY:1.5%   
          14.8         0.15        0.603        0.025  # 1981,J.Laurec+           ## 21709006  #dY:4.1%   
          14.8            0          6.5            0  # 1961,S.K.Mukherjee+      ## 31161010             
          14.8          0.2        0.621         0.02  # 2009,Junhua Luo+         ## 31672003  #dY:3.2%   
          14.9          0.2        0.567     0.008505  # 1987,L.R.Greenwood       ## 12977021  #dY:1.5%   
         14.92         0.05         0.61         0.03  # 1975,B.P.Bayhurst+       ## 10536018  #dY:4.9%   
         14.94            0        0.557        0.033  # 1993,C.Konno+            ## 22637046  #dY:5.9%   
          15.1          0.1        0.569       0.1138  # 1960,H.A.Tewes+          ## 11504012  #dY:20.0%  
         16.23         0.09        0.637        0.031  # 1975,B.P.Bayhurst+       ## 10536020  #dY:4.9%   
         16.23          0.1        0.629        0.031  # 1975,B.P.Bayhurst+       ## 10536020  #dY:4.9%   
         17.23         0.17        0.741        0.037  # 1975,B.P.Bayhurst+       ## 10536018  #dY:5.0%   
         18.23          0.1        0.716        0.035  # 1975,B.P.Bayhurst+       ## 10536018  #dY:4.9%   
         19.98         0.11        0.715        0.035  # 1975,B.P.Bayhurst+       ## 10536018  #dY:4.9%   
         21.25         0.18        0.618         0.03  # 1975,B.P.Bayhurst+       ## 10536018  #dY:4.9%   
            22         0.14        0.534        0.026  # 1975,B.P.Bayhurst+       ## 10536018  #dY:4.9%   
         23.36         0.11        0.423        0.021  # 1975,B.P.Bayhurst+       ## 10536018  #dY:5.0%   
         24.48         0.13        0.323        0.016  # 1975,B.P.Bayhurst+       ## 10536018  #dY:5.0%   
         26.06         0.13         0.21         0.01  # 1975,B.P.Bayhurst+       ## 10536019  #dY:4.8%   
         28.05         0.14        0.157        0.008  # 1975,B.P.Bayhurst+       ## 10536020  #dY:5.1%   
//
#-------------------------------------------------------------------------------
#
#name:   47-AG-107(N,3N)47-AG-105-G,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  8
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         18.23          0.1        0.005        0.008  # 1975,B.P.Bayhurst+       ## 10536021  #dY:160.0% 
         19.98         0.11        0.117        0.016  # 1975,B.P.Bayhurst+       ## 10536021  #dY:13.7%  
         21.25         0.18          0.3        0.015  # 1975,B.P.Bayhurst+       ## 10536021  #dY:5.0%   
            22         0.14         0.42         0.02  # 1975,B.P.Bayhurst+       ## 10536021  #dY:4.8%   
         23.36         0.11        0.691        0.035  # 1975,B.P.Bayhurst+       ## 10536021  #dY:5.1%   
         24.48         0.13        0.767        0.039  # 1975,B.P.Bayhurst+       ## 10536021  #dY:5.1%   
         26.06         0.13        0.898        0.045  # 1975,B.P.Bayhurst+       ## 10536022  #dY:5.0%   
         28.05         0.14        0.969        0.049  # 1975,B.P.Bayhurst+       ## 10536023  #dY:5.1%   
//
#-------------------------------------------------------------------------------
#
#name:   47-AG-107(N,EL)47-AG-107,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  3
#ldata:  16
#data...
#            X         +-dX            Y  # Comments...
#          MeV          MeV        barns  # Year,Author(s)           ## EXFOR-ID
           1.5       0.0125         3.71            0  # 1979,A.Smith+            ## 10876004             
