#ZVView-data-copy:  30-May-2023 22:21:15
#=======================================
#
#name:   47-AG-107(N,G)47-AG-108-G,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  3
#ldata:  4
#data...
#            X            Y         +-dY  # Comments...
#          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
       2.53e-8            0         33.1        1.655  # 1988,F.De Corte+         ## 23488044  #dY:5.0%   
         0.024            0          1.1        0.187  # 1951,V.Hummel+           ## 11010011  #dY:17.0%  
         0.024            0         0.93         0.18  # 1957,R.L.Macklin+        ## 11399029  #dY:19.4%  
         0.024            0         0.84         0.09  # 1965,A.K.Chaubey+        ## 30063003  #dY:10.7%  
//
#-------------------------------------------------------------------------------
#
#name:   47-AG-107(N,G)47-AG-108,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  83
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
       2.53e-8            0         37.6          1.2  # 1974,T.B.Ryves+          ## 20561006  #dY:3.2%   
       2.53e-8            0         37.2       0.1488  # 1971,T.B.Ryves           ## 20791011  #dY:0.4%   
       2.53e-8            0         33.5            0  # 2013,F.Farina Arbocco+   ## 23266107             
       2.53e-8            0         35.2            0  # 2013,F.Farina Arbocco+   ## 23266107             
       2.53e-8            0         34.2            0  # 2013,F.Farina Arbocco+   ## 23266107             
         0.003        0.003         2.04            0  # 1946,G.A.Linenberger+    ## 11945002             
        0.0031            0         2.05            0  # 1960,L.W.Weston+         ## 11818007             
         0.004            0         1.83            0  # 1960,L.W.Weston+         ## 11818007             
        0.0049            0         1.65            0  # 1960,L.W.Weston+         ## 11818007             
         0.006            0          1.5            0  # 1960,L.W.Weston+         ## 11818007             
         0.008            0         1.38            0  # 1960,L.W.Weston+         ## 11818007             
         0.009            0         1.48            0  # 1960,L.W.Weston+         ## 11818007             
          0.01            0         1.23            0  # 1960,L.W.Weston+         ## 11818007             
        0.0125            0         1.12            0  # 1960,L.W.Weston+         ## 11818007             
         0.015            0         1.11            0  # 1960,L.W.Weston+         ## 11818007             
         0.016        0.012         1.04            0  # 1946,G.A.Linenberger+    ## 11945002             
        0.0175            0         1.02            0  # 1960,L.W.Weston+         ## 11818007             
          0.02            0         1.03            0  # 1960,L.W.Weston+         ## 11818007             
         0.024            0         0.83         0.18  # 1970,W.W.Campbell        ## 13497003  #dY:21.7%  
         0.024            0        1.345        0.091  # 1958,V.N.Kononov+        ## 40421018  #dY:6.8%   
         0.025            0        1.788        0.208  # 1959,J.F.Vervier         ## 20205008  #dY:11.6%  
        0.0285            0          0.9            0  # 1960,L.W.Weston+         ## 11818007             
         0.029            0        1.082            0  # 1965,V.N.Kononov+        ## 40076011             
          0.03            0         0.81            0  # 1960,L.W.Weston+         ## 11818007             
         0.033        0.035        0.703            0  # 1946,G.A.Linenberger+    ## 11945002             
         0.033            0        1.057            0  # 1965,V.N.Kononov+        ## 40076011             
         0.035            0         0.83            0  # 1960,L.W.Weston+         ## 11818007             
         0.039            0        0.867            0  # 1965,V.N.Kononov+        ## 40076011             
          0.04            0         0.72            0  # 1960,L.W.Weston+         ## 11818007             
         0.045            0         0.73            0  # 1960,L.W.Weston+         ## 11818007             
         0.046            0        0.754            0  # 1965,V.N.Kononov+        ## 40076011             
          0.05            0         0.66            0  # 1960,L.W.Weston+         ## 11818007             
         0.056            0        0.717            0  # 1965,V.N.Kononov+        ## 40076011             
          0.06            0         0.61            0  # 1960,L.W.Weston+         ## 11818007             
         0.066            0        0.645            0  # 1965,V.N.Kononov+        ## 40076011             
         0.067         0.04        0.556            0  # 1946,G.A.Linenberger+    ## 11945002             
         0.073            0        0.583            0  # 1965,V.N.Kononov+        ## 40076011             
          0.08            0         0.51            0  # 1960,L.W.Weston+         ## 11818007             
          0.08            0        0.535            0  # 1965,V.N.Kononov+        ## 40076011             
         0.083            0          0.5            0  # 1965,V.N.Kononov+        ## 40076011             
         0.088            0        0.546            0  # 1965,V.N.Kononov+        ## 40076011             
         0.092            0        0.508            0  # 1965,V.N.Kononov+        ## 40076011             
         0.097            0         0.45            0  # 1965,V.N.Kononov+        ## 40076011             
         0.098        0.035        0.635            0  # 1946,G.A.Linenberger+    ## 11945002             
           0.1            0         0.43            0  # 1960,L.W.Weston+         ## 11818007             
         0.102            0        0.434            0  # 1965,V.N.Kononov+        ## 40076011             
         0.107            0        0.428            0  # 1965,V.N.Kononov+        ## 40076011             
         0.114            0        0.436            0  # 1965,V.N.Kononov+        ## 40076011             
         0.121            0        0.424            0  # 1965,V.N.Kononov+        ## 40076011             
          0.13            0        0.406            0  # 1965,V.N.Kononov+        ## 40076011             
         0.138            0        0.361            0  # 1965,V.N.Kononov+        ## 40076011             
         0.145            0        0.525            0  # 1959,A.E.Johnsrud+       ## 11675013             
         0.146            0        0.358            0  # 1965,V.N.Kononov+        ## 40076011             
          0.15            0         0.34            0  # 1960,L.W.Weston+         ## 11818007             
         0.195        0.025         0.29         0.06  # 1959,W.S.Lyon+           ## 11407019  #dY:20.7%  
         0.195            0         0.42            0  # 1959,A.E.Johnsrud+       ## 11675013             
         0.195        0.005        0.246            0  # 1946,G.A.Linenberger+    ## 11945002             
           0.2        0.015         0.39        0.013  # 1958,A.I.Leipunskiy+     ## 40244077  #dY:3.3%   
         0.245            0        0.395            0  # 1959,A.E.Johnsrud+       ## 11675013             
          0.25            0         0.26            0  # 1960,L.W.Weston+         ## 11818007             
           0.3            0         0.34            0  # 1959,A.E.Johnsrud+       ## 11675013             
         0.345            0        0.303            0  # 1959,A.E.Johnsrud+       ## 11675013             
          0.39        0.005         0.13            0  # 1946,G.A.Linenberger+    ## 11945002             
         0.395            0        0.271            0  # 1959,A.E.Johnsrud+       ## 11675013             
         0.445            0        0.221            0  # 1959,A.E.Johnsrud+       ## 11675013             
          0.49            0        0.196            0  # 1959,A.E.Johnsrud+       ## 11675013             
         0.515            0        0.195            0  # 1959,A.E.Johnsrud+       ## 11675013             
          0.54            0        0.171            0  # 1959,A.E.Johnsrud+       ## 11675013             
          0.59            0         0.18            0  # 1959,A.E.Johnsrud+       ## 11675013             
         0.595            0         0.17            0  # 1959,A.E.Johnsrud+       ## 11675013             
          0.79            0         0.16            0  # 1959,A.E.Johnsrud+       ## 11675013             
           0.9       0.0065         0.37         0.07  # 1949,L.E.Beghian+        ## 22580008  #dY:18.9%  
          0.98            0        0.145            0  # 1959,A.E.Johnsrud+       ## 11675013             
          1.17            0        0.132            0  # 1959,A.E.Johnsrud+       ## 11675013             
           1.4            0        0.114            0  # 1959,A.E.Johnsrud+       ## 11675013             
           1.4            0        0.121            0  # 1959,A.E.Johnsrud+       ## 11675013             
          1.78            0        0.102            0  # 1959,A.E.Johnsrud+       ## 11675013             
          2.13            0        0.088            0  # 1959,A.E.Johnsrud+       ## 11675013             
          2.45            0        0.074            0  # 1959,A.E.Johnsrud+       ## 11675013             
           2.7            0        0.056        0.001  # 1958,A.I.Leipunskiy+     ## 40244098  #dY:1.8%   
             3          0.1        0.051        0.008  # 1967,G.Peto+             ## 30031013  #dY:15.7%  
             4            0       0.0294       0.0009  # 1958,A.I.Leipunskiy+     ## 40244098  #dY:3.1%   
