#ZVView-data-copy:  30-May-2023 21:13:58
#=======================================
#
#name:   56-BA-135(N,P)55-CS-135-M,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  3
#ldata:  8
#data...
#            X            Y         +-dY  # Comments...
#          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         13.34            0      0.00024       3.2e-5  # 1988,Y.Ikeda+            ## 22089099  #dY:13.3%  
         13.57            0     0.000216       2.8e-5  # 1988,Y.Ikeda+            ## 22089099  #dY:13.0%  
         13.76            0     0.000253       4.1e-5  # 1988,Y.Ikeda+            ## 22089099  #dY:16.2%  
         13.99            0     0.000297       3.2e-5  # 1988,Y.Ikeda+            ## 22089099  #dY:10.8%  
         14.23            0     0.000262         4e-5  # 1988,Y.Ikeda+            ## 22089099  #dY:15.3%  
         14.44            0     0.000293       3.3e-5  # 1988,Y.Ikeda+            ## 22089099  #dY:11.3%  
         14.68            0     0.000307       3.2e-5  # 1988,Y.Ikeda+            ## 22089099  #dY:10.4%  
         14.95            0      0.00036       3.4e-5  # 1988,Y.Ikeda+            ## 22089099  #dY:9.4%   
//
#-------------------------------------------------------------------------------
#
#name:   56-BA-135(N,INL)56-BA-135-M,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  3
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
           2.2            0         0.58        0.039  # 1990,Y.Ikeda+            ## 22191009  #dY:6.7%   
           2.8          0.2         0.32        0.022  # 1968,P.Bornemisza-Paus   ## 30338005  #dY:6.9%   
          3.01            0        0.784        0.053  # 1990,Y.Ikeda+            ## 22191009  #dY:6.8%   
//
#-------------------------------------------------------------------------------
#
#name:   56-BA-135(N,G)56-BA-136,,SIG,,AV
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  30
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
        0.0035       0.0005        1.072        0.157  # 1974,A.R.De+             ## 30293004  #dY:14.6%  
        0.0045       0.0005         1.18        0.177  # 1974,A.R.De+             ## 30293004  #dY:15.0%  
        0.0055       0.0005        1.131        0.167  # 1974,A.R.De+             ## 30293004  #dY:14.8%  
         0.007        0.001        0.944        0.138  # 1974,A.R.De+             ## 30293004  #dY:14.6%  
         0.009        0.001          0.9        0.138  # 1974,A.R.De+             ## 30293004  #dY:15.3%  
       0.01125      0.00125       0.7321            0  # 1994,F.Voss+             ## 22307017             
        0.0125       0.0025        0.649        0.092  # 1974,A.R.De+             ## 30293004  #dY:14.2%  
       0.01375      0.00125       0.6785            0  # 1994,F.Voss+             ## 22307017             
        0.0175       0.0025        0.606            0  # 1994,F.Voss+             ## 22307017             
        0.0175       0.0025         0.61        0.088  # 1974,A.R.De+             ## 30293004  #dY:14.4%  
        0.0225       0.0025       0.5712            0  # 1994,F.Voss+             ## 22307017             
         0.025        0.005        0.531        0.079  # 1974,A.R.De+             ## 30293004  #dY:14.9%  
        0.0275       0.0025       0.5004            0  # 1994,F.Voss+             ## 22307017             
         0.035        0.005       0.4286            0  # 1994,F.Voss+             ## 22307017             
         0.035        0.005        0.442        0.079  # 1974,A.R.De+             ## 30293004  #dY:17.9%  
         0.045        0.005       0.3816            0  # 1994,F.Voss+             ## 22307017             
         0.045        0.005        0.393        0.069  # 1974,A.R.De+             ## 30293004  #dY:17.6%  
         0.055        0.005       0.3267            0  # 1994,F.Voss+             ## 22307017             
         0.055        0.005        0.344        0.059  # 1974,A.R.De+             ## 30293004  #dY:17.2%  
          0.07         0.01       0.2723            0  # 1994,F.Voss+             ## 22307017             
          0.07         0.01        0.295        0.049  # 1974,A.R.De+             ## 30293004  #dY:16.6%  
          0.09         0.01       0.2302            0  # 1994,F.Voss+             ## 22307017             
          0.09         0.01        0.265        0.039  # 1974,A.R.De+             ## 30293004  #dY:14.7%  
          0.11         0.01       0.2127            0  # 1994,F.Voss+             ## 22307017             
         0.125        0.025        0.226        0.039  # 1974,A.R.De+             ## 30293004  #dY:17.3%  
         0.135        0.015       0.1928            0  # 1994,F.Voss+             ## 22307017             
        0.1625       0.0125       0.1809            0  # 1994,F.Voss+             ## 22307017             
         0.175        0.025        0.206        0.039  # 1974,A.R.De+             ## 30293004  #dY:18.9%  
        0.1875       0.0125       0.1706            0  # 1994,F.Voss+             ## 22307017             
        0.2125       0.0125       0.1652            0  # 1994,F.Voss+             ## 22307017             
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.0: BA-135(N,EL)BA-135-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  12413
#data...
#            X            Y
#          MeV        barns
         1e-11       13.682 
   1.10304e-11      13.0503 
   1.21669e-11        12.45 
   1.34206e-11      11.8795 
   1.49078e-11      11.2998 
    1.6559e-11      10.7515 
   1.83941e-11      10.2326 
   2.04314e-11       9.7421 
   2.26957e-11      9.27819 
   2.52095e-11      8.84003 
   2.80032e-11      8.42596 
   3.11048e-11      8.03522 
   3.45519e-11      7.66634 
   3.83789e-11      7.31864 
    4.2632e-11      6.99078 
    4.7354e-11      6.68216 
   5.26017e-11      6.39159 
    5.8428e-11       6.1185 
   6.49029e-11      5.86182 
   7.20917e-11      5.62106 
   8.06417e-11      5.38077 
   9.02058e-11      5.15677 
   1.00904e-10      4.94828 
   1.12871e-10      4.75452 
   1.26257e-10      4.57476 
   1.42228e-10      4.39828 
    1.6021e-10      4.23608 
   1.80476e-10      4.08721 
   2.04728e-10      3.94339 
   2.32239e-10      3.81285 
   2.65292e-10      3.68854 
   3.03066e-10      3.57701 
   3.48642e-10      3.47244 
   4.03881e-10      3.37558 
   4.71174e-10      3.28693 
   5.53556e-10       3.2068 
   6.54897e-10      3.13528 
   7.85722e-10      3.06985 
    9.5598e-10      3.01132 
     1.1878e-9      2.95851 
    1.51786e-9      2.91112 
    1.99463e-9      2.87035 
    2.73382e-9      2.83523 
    3.99068e-9      2.80537 
    6.33619e-9      2.78128 
    1.15732e-8      2.76262 
    2.52419e-8      2.75005 
       2.53e-8      2.75002 
    1.08614e-7      2.73936 
    1.01671e-5       2.4013 
    1.31755e-5      2.28547 
    1.52631e-5       2.1902 
    1.68358e-5      2.10353 
    1.80574e-5      2.02166 
    1.89653e-5      1.94817 
    1.97794e-5      1.86915 
    2.04839e-5      1.78725 
     2.1066e-5       1.7079 
    2.21252e-5       1.5433 
    2.23588e-5      1.51283 
    2.25159e-5        1.499 
    2.26474e-5      1.49491 
     2.2745e-5      1.49865 
     2.2825e-5      1.50789 
    2.29049e-5      1.52465 
    2.29848e-5      1.55144 
    2.30571e-5      1.58714 
    2.31113e-5      1.62318 
    2.31656e-5       1.6693 
    2.32198e-5      1.72797 
    2.32559e-5       1.7756 
    2.32919e-5       1.8311 
    2.33276e-5      1.89572 
    2.33634e-5      1.97139 
    2.33992e-5      2.06014 
     2.3426e-5      2.13675 
    2.34528e-5      2.22334 
    2.34797e-5      2.32139 
    2.35065e-5      2.43264 
    2.35333e-5      2.55916 
    2.35602e-5      2.70343 
    2.35807e-5      2.82778 
    2.36013e-5      2.96586 
    2.36218e-5       3.1195 
    2.36424e-5      3.29086 
    2.36629e-5      3.48246 
    2.36835e-5      3.69727 
     2.3704e-5      3.93884 
    2.37194e-5      4.14009 
    2.37322e-5       4.3212 
    2.37474e-5       4.5568 
    2.37626e-5      4.81598 
    2.37778e-5      5.10177 
    2.37931e-5      5.41774 
    2.38083e-5      5.76806 
    2.38235e-5      6.15769 
    2.38387e-5       6.5925 
    2.38524e-5      7.02827 
    2.38646e-5      7.45608 
    2.38768e-5      7.92726 
     2.3889e-5      8.44782 
    2.39011e-5      9.02487 
    2.39133e-5      9.66687 
    2.39225e-5       10.197 
    2.39316e-5      10.7743 
    2.39407e-5      11.4046 
    2.39483e-5      11.9749 
    2.39575e-5      12.7201 
    2.39666e-5      13.5397 
    2.39757e-5      14.4436 
    2.39849e-5      15.4432 
     2.3994e-5      16.5517 
    2.40031e-5      17.7842 
      2.401e-5      18.8003 
    2.40168e-5       19.904 
    2.40244e-5      21.2443 
    2.40321e-5      22.7177 
    2.40397e-5      24.3394 
    2.40473e-5       26.126 
    2.40549e-5       28.096 
    2.40625e-5      30.2692 
    2.40701e-5      32.6672 
    2.40777e-5      35.3131 
    2.40835e-5      37.5051 
    2.40893e-5      39.8659 
    2.40951e-5      42.4073 
    2.41009e-5      45.1415 
    2.41067e-5       48.081 
    2.41124e-5      51.2383 
    2.41182e-5      54.6261 
     2.4124e-5      58.2569 
    2.41301e-5      62.3553 
    2.41362e-5      66.7507 
    2.41423e-5      71.4568 
    2.41484e-5      76.4858 
    2.41544e-5      81.8491 
    2.41605e-5      87.5562 
    2.41697e-5      96.7784 
    2.41788e-5      106.809 
    2.41879e-5      117.652 
    2.41971e-5      129.296 
    2.42062e-5      141.712 
    2.42153e-5      154.849 
    2.42275e-5      173.364 
    2.42427e-5      197.774 
    2.42762e-5       253.33 
    2.42945e-5      282.179 
    2.43067e-5      299.768 
    2.43189e-5       315.46 
    2.43298e-5      327.575 
    2.43408e-5      337.477 
    2.43499e-5      343.856 
     2.4359e-5      348.413 
    2.43696e-5      351.316 
    2.43772e-5      351.792 
    2.43852e-5      350.838 
    2.43944e-5      347.956 
    2.44029e-5      343.596 
    2.44145e-5       335.25 
    2.44236e-5      326.848 
    2.44358e-5      313.456 
    2.44479e-5      297.966 
