#ZVView-data-copy:  30-May-2023 21:14:52
#=======================================
#
#name:   56-BA-135(N,P)55-CS-135-M,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  3
#ldata:  8
#data...
#            X            Y         +-dY  # Comments...
#          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         13.34            0      0.00024       3.2e-5  # 1988,Y.Ikeda+            ## 22089099  #dY:13.3%  
         13.57            0     0.000216       2.8e-5  # 1988,Y.Ikeda+            ## 22089099  #dY:13.0%  
         13.76            0     0.000253       4.1e-5  # 1988,Y.Ikeda+            ## 22089099  #dY:16.2%  
         13.99            0     0.000297       3.2e-5  # 1988,Y.Ikeda+            ## 22089099  #dY:10.8%  
         14.23            0     0.000262         4e-5  # 1988,Y.Ikeda+            ## 22089099  #dY:15.3%  
         14.44            0     0.000293       3.3e-5  # 1988,Y.Ikeda+            ## 22089099  #dY:11.3%  
         14.68            0     0.000307       3.2e-5  # 1988,Y.Ikeda+            ## 22089099  #dY:10.4%  
         14.95            0      0.00036       3.4e-5  # 1988,Y.Ikeda+            ## 22089099  #dY:9.4%   
//
#-------------------------------------------------------------------------------
#
#name:   56-BA-135(N,INL)56-BA-135-M,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  3
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
           2.2            0         0.58        0.039  # 1990,Y.Ikeda+            ## 22191009  #dY:6.7%   
           2.8          0.2         0.32        0.022  # 1968,P.Bornemisza-Paus   ## 30338005  #dY:6.9%   
          3.01            0        0.784        0.053  # 1990,Y.Ikeda+            ## 22191009  #dY:6.8%   
//
#-------------------------------------------------------------------------------
#
#name:   56-BA-135(N,G)56-BA-136,,SIG,,AV
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  30
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
        0.0035       0.0005        1.072        0.157  # 1974,A.R.De+             ## 30293004  #dY:14.6%  
        0.0045       0.0005         1.18        0.177  # 1974,A.R.De+             ## 30293004  #dY:15.0%  
        0.0055       0.0005        1.131        0.167  # 1974,A.R.De+             ## 30293004  #dY:14.8%  
         0.007        0.001        0.944        0.138  # 1974,A.R.De+             ## 30293004  #dY:14.6%  
         0.009        0.001          0.9        0.138  # 1974,A.R.De+             ## 30293004  #dY:15.3%  
       0.01125      0.00125       0.7321            0  # 1994,F.Voss+             ## 22307017             
        0.0125       0.0025        0.649        0.092  # 1974,A.R.De+             ## 30293004  #dY:14.2%  
       0.01375      0.00125       0.6785            0  # 1994,F.Voss+             ## 22307017             
        0.0175       0.0025        0.606            0  # 1994,F.Voss+             ## 22307017             
        0.0175       0.0025         0.61        0.088  # 1974,A.R.De+             ## 30293004  #dY:14.4%  
        0.0225       0.0025       0.5712            0  # 1994,F.Voss+             ## 22307017             
         0.025        0.005        0.531        0.079  # 1974,A.R.De+             ## 30293004  #dY:14.9%  
        0.0275       0.0025       0.5004            0  # 1994,F.Voss+             ## 22307017             
         0.035        0.005       0.4286            0  # 1994,F.Voss+             ## 22307017             
         0.035        0.005        0.442        0.079  # 1974,A.R.De+             ## 30293004  #dY:17.9%  
         0.045        0.005       0.3816            0  # 1994,F.Voss+             ## 22307017             
         0.045        0.005        0.393        0.069  # 1974,A.R.De+             ## 30293004  #dY:17.6%  
         0.055        0.005       0.3267            0  # 1994,F.Voss+             ## 22307017             
         0.055        0.005        0.344        0.059  # 1974,A.R.De+             ## 30293004  #dY:17.2%  
          0.07         0.01       0.2723            0  # 1994,F.Voss+             ## 22307017             
          0.07         0.01        0.295        0.049  # 1974,A.R.De+             ## 30293004  #dY:16.6%  
          0.09         0.01       0.2302            0  # 1994,F.Voss+             ## 22307017             
          0.09         0.01        0.265        0.039  # 1974,A.R.De+             ## 30293004  #dY:14.7%  
          0.11         0.01       0.2127            0  # 1994,F.Voss+             ## 22307017             
         0.125        0.025        0.226        0.039  # 1974,A.R.De+             ## 30293004  #dY:17.3%  
         0.135        0.015       0.1928            0  # 1994,F.Voss+             ## 22307017             
        0.1625       0.0125       0.1809            0  # 1994,F.Voss+             ## 22307017             
         0.175        0.025        0.206        0.039  # 1974,A.R.De+             ## 30293004  #dY:18.9%  
        0.1875       0.0125       0.1706            0  # 1994,F.Voss+             ## 22307017             
        0.2125       0.0125       0.1652            0  # 1994,F.Voss+             ## 22307017             
//
#-------------------------------------------------------------------------------
#
#name:   JEFF-3.3: BA-135(N,EL)BA-135-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  21003
#data...
#            X            Y
#          MeV        barns
         1e-11      8.97773 
   1.10304e-11      8.56322 
   1.21669e-11      8.16928 
   1.34206e-11      7.79497 
   1.49078e-11      7.41458 
    1.6559e-11      7.05482 
   1.83941e-11      6.71431 
   2.04314e-11      6.39247 
   2.26957e-11      6.08806 
   2.52095e-11      5.80056 
   2.80032e-11      5.52886 
   3.11048e-11      5.27247 
   3.45519e-11      5.03042 
   3.83789e-11      4.80227 
    4.2632e-11      4.58714 
    4.7354e-11      4.38463 
   5.26017e-11      4.19396 
    5.8428e-11      4.01477 
   6.49029e-11      3.84635 
   7.20917e-11      3.68837 
   8.06417e-11      3.53069 
   9.02058e-11      3.38372 
   1.00904e-10      3.24691 
   1.12871e-10      3.11977 
   1.26257e-10      3.00182 
   1.42228e-10      2.88602 
    1.6021e-10      2.77959 
   1.80476e-10       2.6819 
   2.04728e-10      2.58753 
   2.32239e-10      2.50187 
   2.65292e-10       2.4203 
   3.03066e-10      2.34713 
   3.48642e-10      2.27851 
   4.03881e-10      2.21495 
   4.71174e-10      2.15678 
   5.53556e-10       2.1042 
   6.54897e-10      2.05727 
   7.85722e-10      2.01434 
    9.5598e-10      1.97593 
     1.1878e-9      1.94128 
    1.51786e-9      1.91018 
    1.99463e-9      1.88343 
    2.73382e-9      1.86038 
    3.99068e-9      1.84079 
    6.33619e-9      1.82497 
    1.15732e-8      1.81271 
    2.52419e-8      1.80441 
       2.53e-8      1.80439 
    1.08614e-7      1.79709 
    5.72456e-6      1.64351 
    8.77655e-6      1.54911 
    1.10587e-5      1.46794 
    1.29012e-5      1.39213 
    1.43309e-5      1.32442 
    1.55876e-5       1.2562 
    1.67187e-5      1.18603 
    1.76823e-5      1.11864 
    1.88325e-5      1.02946 
    1.97794e-5     0.955016 
     2.0199e-5     0.926972 
    2.04839e-5     0.912784 
    2.07007e-5     0.906484 
     2.0812e-5     0.905381 
    2.09588e-5     0.906801 
    2.11056e-5     0.912286 
    2.12545e-5     0.923419 
    2.13662e-5     0.936447 
    2.14789e-5     0.954657 
    2.15921e-5     0.979261 
    2.17053e-5      1.01171 
    2.17819e-5      1.03905 
    2.18585e-5       1.0716 
     2.1935e-5      1.11023 
    2.20116e-5      1.15602 
    2.20892e-5      1.21106 
    2.21474e-5      1.25898 
    2.22057e-5      1.31349 
    2.22639e-5       1.3755 
    2.23221e-5      1.44609 
    2.23812e-5      1.52778 
    2.24402e-5      1.62131 
    2.24993e-5      1.72869 
    2.25386e-5      1.80911 
     2.2578e-5      1.89751 
    2.26174e-5      1.99479 
    2.26553e-5      2.09799 
    2.26919e-5      2.20709 
    2.27284e-5      2.32681 
     2.2765e-5      2.45839 
    2.28015e-5      2.60324 
    2.28381e-5      2.76298 
    2.28747e-5      2.93948 
    2.29112e-5      3.13489 
    2.29427e-5      3.32043 
    2.29824e-5       3.5797 
    2.30089e-5      3.77032 
    2.30354e-5      3.97682 
    2.30618e-5      4.20088 
    2.30883e-5      4.44435 
    2.31148e-5      4.70935 
    2.31413e-5       4.9983 
    2.31639e-5      5.26712 
    2.31866e-5      5.55753 
    2.32093e-5      5.87176 
     2.3232e-5      6.21233 
    2.32547e-5      6.58212 
    2.32774e-5      6.98435 
    2.33001e-5      7.42273 
    2.33227e-5      7.90147 
    2.33417e-5      8.33474 
    2.33606e-5      8.80257 
    2.33795e-5      9.30858 
    2.33984e-5      9.85684 
    2.34173e-5       10.452 
    2.34362e-5      11.0994 
    2.34551e-5      11.8051 
     2.3474e-5       12.576 
    2.34967e-5      13.5989 
    2.35118e-5      14.3475 
    2.35269e-5      15.1561 
    2.35421e-5       16.031 
    2.35572e-5      16.9797 
    2.35723e-5      18.0105 
    2.35874e-5      19.1331 
    2.36018e-5      20.2948 
    2.36154e-5       21.491 
     2.3629e-5      22.7913 
    2.36426e-5      24.2083 
    2.36563e-5      25.7564 
    2.36699e-5      27.4526 
    2.36835e-5      29.3166 
    2.36971e-5      31.3721 
    2.37092e-5      33.3822 
    2.37198e-5      35.3012 
    2.37304e-5      37.3886 
     2.3741e-5      39.6653 
    2.37515e-5      42.1558 
    2.37621e-5      44.8887 
    2.37727e-5      47.8974 
    2.37833e-5      51.2213 
    2.37931e-5      54.6303 
    2.38022e-5      58.0909 
    2.38113e-5      61.8933 
    2.38204e-5      66.0826 
    2.38294e-5       70.711 
    2.38385e-5      75.8379 
    2.38476e-5      81.5311 
    2.38544e-5      86.2188 
    2.38612e-5      91.3044 
    2.38688e-5      97.4705 
    2.38763e-5      104.236 
    2.38839e-5      111.668 
    2.38915e-5      119.835 
     2.3899e-5      128.815 
    2.39066e-5       138.69 
    2.39141e-5      149.548 
    2.39217e-5      161.482 
     2.3929e-5       174.04 
    2.39362e-5      187.766 
    2.39435e-5      202.751 
