#ZVView-data-copy:  30-May-2023 21:18:29
#=======================================
#
#name:   56-BA-137(N,INL)56-BA-137-M,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  46
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
           0.5            0        0.008            0  # 1955,C.P.Swann+          ## 11862003             
           0.6            0        0.007            0  # 1955,C.P.Swann+          ## 11862003             
          0.68            0        0.011            0  # 1955,C.P.Swann+          ## 11862003             
          0.73            0        0.028            0  # 1955,C.P.Swann+          ## 11862003             
           0.8            0        0.044            0  # 1955,C.P.Swann+          ## 11862003             
          0.84            0         0.05            0  # 1955,C.P.Swann+          ## 11862003             
           0.9            0         0.06            0  # 1955,C.P.Swann+          ## 11862003             
          0.95            0        0.067            0  # 1955,C.P.Swann+          ## 11862003             
          1.01            0        0.069            0  # 1955,C.P.Swann+          ## 11862003             
          1.06            0        0.083            0  # 1955,C.P.Swann+          ## 11862003             
          1.11            0        0.094            0  # 1955,C.P.Swann+          ## 11862003             
          1.17            0        0.105            0  # 1955,C.P.Swann+          ## 11862003             
          1.23            0        0.113            0  # 1955,C.P.Swann+          ## 11862003             
          1.28            0        0.135            0  # 1955,C.P.Swann+          ## 11862003             
          1.33            0         0.13            0  # 1955,C.P.Swann+          ## 11862003             
          1.39            0         0.14            0  # 1955,C.P.Swann+          ## 11862003             
          1.45            0        0.139            0  # 1955,C.P.Swann+          ## 11862003             
          1.51            0        0.142            0  # 1955,C.P.Swann+          ## 11862003             
          1.58            0         0.15            0  # 1955,C.P.Swann+          ## 11862003             
          1.65            0        0.157            0  # 1955,C.P.Swann+          ## 11862003             
           1.7            0        0.163            0  # 1955,C.P.Swann+          ## 11862003             
          1.76            0         0.16            0  # 1955,C.P.Swann+          ## 11862003             
          1.83            0         0.19            0  # 1955,C.P.Swann+          ## 11862003             
          1.97            0        0.243            0  # 1955,C.P.Swann+          ## 11862003             
          2.09         0.05        0.227      0.04767  # 2004,T.Shimizu+          ## 22838011  #dY:21.0%  
          2.11            0          0.3            0  # 1955,C.P.Swann+          ## 11862003             
          2.25            0        0.325            0  # 1955,C.P.Swann+          ## 11862003             
          2.27         0.05        0.305      0.02684  # 2004,T.Shimizu+          ## 22838011  #dY:8.8%   
          2.33            0        0.324            0  # 1955,C.P.Swann+          ## 11862003             
           2.4            0        0.368            0  # 1955,C.P.Swann+          ## 11862003             
          2.46         0.05         0.37      0.02479  # 2004,T.Shimizu+          ## 22838011  #dY:6.7%   
          2.48            0        0.378            0  # 1955,C.P.Swann+          ## 11862003             
          2.56            0        0.432            0  # 1955,C.P.Swann+          ## 11862003             
          2.64            0        0.453            0  # 1955,C.P.Swann+          ## 11862003             
          2.69         0.05        0.457     0.025135  # 2004,T.Shimizu+          ## 22838011  #dY:5.5%   
          2.71            0        0.479            0  # 1955,C.P.Swann+          ## 11862003             
          2.78            0        0.502            0  # 1955,C.P.Swann+          ## 11862003             
           2.8        0.035        0.465      0.06045  # 1967,K.G.Broadhead+      ## 11850007  #dY:13.0%  
           2.8          0.2        0.434         0.03  # 1968,P.Bornemisza-Paus   ## 30338006  #dY:6.9%   
          2.84            0         0.53            0  # 1955,C.P.Swann+          ## 11862003             
           2.9         0.05        0.523     0.025627  # 2004,T.Shimizu+          ## 22838011  #dY:4.9%   
          2.91            0         0.54            0  # 1955,C.P.Swann+          ## 11862003             
          2.99            0        0.559            0  # 1955,C.P.Swann+          ## 11862003             
          3.09         0.05        0.555     0.021645  # 2004,T.Shimizu+          ## 22838011  #dY:3.9%   
          14.5          0.2        0.365        0.036  # 1970,E.Rurarz+           ## 30154005  #dY:9.9%   
          14.7          0.3        0.214        0.015  # 1985,B.Anders+           ## 21976042  #dY:7.0%   
//
#-------------------------------------------------------------------------------
#
#name:   56-BA-137(N,G)56-BA-138,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  3
#ldata:  464
#data...
#            X            Y         +-dY  # Comments...
#          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
      0.000402            0       0.2804            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0004037            0       0.2804            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0004101            0       0.2804            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0004118            0       0.8411            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0004131            0        1.682            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0004145            0        2.804            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0004155            0        3.925            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0004158            0        5.607            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0004161            0        7.009            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0004165            0        8.692            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0004168            0        10.65            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0004171            0        14.02            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0004175            0        22.15            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0004178            0        33.93            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0004188            0        56.64            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0004195            0        37.57            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0004198            0        53.83            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0004202            0        47.66            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0004205            0        23.27            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0004212            0        16.26            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0004218            0         7.29            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0004225            0        5.047            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0004235            0        3.645            0  # 1998,P.E.Koehler+        ## 13695003             
