#ZVView-data-copy:  30-May-2023 21:20:45
#=======================================
#
#name:   56-BA-138(N,A)54-XE-135-M,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  22
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          13.4         0.09      0.00073    0.0003577  # 1996,S.Murahira+         ## 22311005  #dY:49.0%  
         13.47            0      0.00073    5.9714e-5  # 2016,A.A.Filatenkov      ## 41614153  #dY:8.2%   
         13.65         0.09      0.00074   0.00027306  # 1996,S.Murahira+         ## 22311005  #dY:36.9%  
         13.66            0      0.00072    6.9768e-5  # 2016,A.A.Filatenkov      ## 41614153  #dY:9.7%   
         13.88         0.09      0.00078    0.0002691  # 1996,S.Murahira+         ## 22311005  #dY:34.5%  
         13.88            0      0.00087    6.0204e-5  # 2016,A.A.Filatenkov      ## 41614153  #dY:6.9%   
            14            0       0.0005         5e-5  # 1986,J.Rama Rao+         ## 30938005  #dY:10.0%  
         14.04            0      0.00079    6.9599e-5  # 2016,A.A.Filatenkov      ## 41614153  #dY:8.8%   
          14.1          0.1        0.013        0.002  # 1961,F.Fukuzawa          ## 20289006  #dY:15.4%  
          14.2          0.1      0.00052         5e-5  # 1976,N.Lakshmana Das+    ## 30433004  #dY:9.6%   
          14.2          0.1      0.00052         5e-5  # 1980,N.Lakshmana Das+    ## Y0029004  #dY:9.6%   
         14.26            0      0.00098    6.9384e-5  # 2016,A.A.Filatenkov      ## 41614153  #dY:7.1%   
         14.28         0.09       0.0008    0.0003704  # 1996,S.Murahira+         ## 22311005  #dY:46.3%  
          14.4          0.3      0.00055         5e-5  # 1970,W.D.Lu+             ## 10145032  #dY:9.1%   
         14.44            0      0.00098    5.9192e-5  # 2016,A.A.Filatenkov      ## 41614153  #dY:6.0%   
         14.58         0.09      0.00085   0.00031535  # 1996,S.Murahira+         ## 22311005  #dY:37.1%  
          14.6          0.2      0.00054         6e-5  # 1976,O.Schwerer+         ## 20811013  #dY:11.1%  
         14.63            0      0.00099    5.9796e-5  # 2016,A.A.Filatenkov      ## 41614153  #dY:6.0%   
          14.7          0.3      0.00075         7e-5  # 1985,B.Anders+           ## 21976045  #dY:9.3%   
          14.7            0      0.00101         4e-5  # 1988,Fan Yangmei+        ## 32502005  #dY:4.0%   
         14.81            0      0.00111     5.883e-5  # 2016,A.A.Filatenkov      ## 41614153  #dY:5.3%   
         14.87         0.09      0.00079   0.00026702  # 1996,S.Murahira+         ## 22311005  #dY:33.8%  
//
#-------------------------------------------------------------------------------
#
#name:   56-BA-138(N,A)54-XE-135-G,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  7
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
            14          0.1       0.0036       0.0005  # 1967,P.Cuzzocrea+        ## 21289002  #dY:13.9%  
            14            0      0.00221      0.00025  # 1986,J.Rama Rao+         ## 30938006  #dY:11.3%  
          14.1          0.1        0.013        0.002  # 1961,F.Fukuzawa          ## 20289007  #dY:15.4%  
          14.2          0.2      0.00236      0.00031  # 1980,N.Lakshmana Das+    ## 30557003  #dY:13.1%  
          14.4          0.3        0.002       0.0002  # 1970,W.D.Lu+             ## 10145033  #dY:10.0%  
          14.6          0.2      0.00094      0.00015  # 1976,O.Schwerer+         ## 20811014  #dY:16.0%  
          14.7            0       0.0015       0.0001  # 1988,Fan Yangmei+        ## 32502004  #dY:6.7%   
//
#-------------------------------------------------------------------------------
#
#name:   56-BA-138(N,2N)56-BA-137-M,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  35
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         13.34            0        0.836        0.045  # 1988,Y.Ikeda+            ## 22089103  #dY:5.4%   
          13.4         0.05        0.927     0.038007  # 2001,H.Sakane+           ## 22662013  #dY:4.1%   
         13.47            0        0.794     0.030251  # 2016,A.A.Filatenkov      ## 41614157  #dY:3.8%   
         13.57            0        0.913        0.049  # 1988,Y.Ikeda+            ## 22089103  #dY:5.4%   
         13.64            0        0.773     0.029374  # 2016,A.A.Filatenkov      ## 41614157  #dY:3.8%   
         13.65         0.05        0.945     0.040635  # 2001,H.Sakane+           ## 22662013  #dY:4.3%   
         13.75            0         0.84        0.045  # 1988,Y.Ikeda+            ## 22089103  #dY:5.4%   
         13.88         0.05        0.967     0.042548  # 2001,H.Sakane+           ## 22662013  #dY:4.4%   
         13.88            0        0.806     0.034577  # 2016,A.A.Filatenkov      ## 41614157  #dY:4.3%   
         13.98            0        0.915         0.05  # 1988,Y.Ikeda+            ## 22089103  #dY:5.5%   
            14          0.1         1.02         0.07  # 1967,P.Cuzzocrea+        ## 21289005  #dY:6.9%   
         14.05            0        0.818     0.033211  # 2016,A.A.Filatenkov      ## 41614157  #dY:4.1%   
          14.2          0.1        1.068        0.055  # 1978,N.Lakshmana Das+    ## 30471002  #dY:5.1%   
         14.22            0        0.897        0.048  # 1988,Y.Ikeda+            ## 22089103  #dY:5.4%   
         14.28         0.05        0.963     0.046224  # 2001,H.Sakane+           ## 22662013  #dY:4.8%   
         14.28            0        0.831     0.042132  # 2016,A.A.Filatenkov      ## 41614157  #dY:5.1%   
         14.44            0        0.885        0.049  # 1988,Y.Ikeda+            ## 22089103  #dY:5.5%   
         14.47            0        0.889     0.031915  # 2016,A.A.Filatenkov      ## 41614157  #dY:3.6%   
          14.5          0.2        1.048          0.1  # 1969,E.Rurarz+           ## 30098002  #dY:9.5%   
         14.58         0.05        0.975       0.0429  # 2001,H.Sakane+           ## 22662013  #dY:4.4%   
         14.67            0        0.904        0.049  # 1988,Y.Ikeda+            ## 22089103  #dY:5.4%   
         14.68            0        0.882     0.033075  # 2016,A.A.Filatenkov      ## 41614157  #dY:3.8%   
          14.7         0.15        0.769        0.087  # 1974,H.C.Kao+            ## 10486004  #dY:11.3%  
          14.7          0.3        1.009         0.05  # 1985,B.Anders+           ## 21976046  #dY:5.0%   
          14.8            0        0.737        0.066  # 1977,S.Sothras           ## 10835015  #dY:9.0%   
          14.8          0.4         1.25          0.1  # 1960,R.G.Wille+          ## 12033005  #dY:8.0%   
         14.81            0        0.899     0.034791  # 2016,A.A.Filatenkov      ## 41614157  #dY:3.9%   
         14.86            0         0.94     0.033558  # 2016,A.A.Filatenkov      ## 41614157  #dY:3.6%   
         14.87         0.05        0.983     0.043252  # 2001,H.Sakane+           ## 22662013  #dY:4.4%   
         14.94            0        0.912        0.049  # 1988,Y.Ikeda+            ## 22089103  #dY:5.4%   
