#ZVView-data-copy:  30-May-2023 21:05:31
#=======================================
#
#name:   63-EU-151(N,G)63-EU-152,,SIG,,AV
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  292
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
       5.71e-9      7.1e-10        25300         7120  # 2017,J.Lee+              ## 23181002  #dY:28.1%  
       7.33e-9      9.1e-10        18800         3370  # 2017,J.Lee+              ## 23181002  #dY:17.9%  
       9.42e-9      1.18e-9        18600         2660  # 2017,J.Lee+              ## 23181002  #dY:14.3%  
       1.21e-8       1.5e-9        15000         1680  # 2017,J.Lee+              ## 23181002  #dY:11.2%  
      1.555e-8      1.95e-9        13400         1270  # 2017,J.Lee+              ## 23181002  #dY:9.5%   
      1.995e-8      2.45e-9        11000          908  # 2017,J.Lee+              ## 23181002  #dY:8.3%   
       2.56e-8       3.2e-9         9050          683  # 2017,J.Lee+              ## 23181002  #dY:7.5%   
       3.29e-8       4.1e-9         6710          463  # 2017,J.Lee+              ## 23181002  #dY:6.9%   
       4.22e-8       5.2e-9         5220          350  # 2017,J.Lee+              ## 23181002  #dY:6.7%   
      5.415e-8      6.75e-9         4090          270  # 2017,J.Lee+              ## 23181002  #dY:6.6%   
      6.955e-8      8.65e-9         2920          194  # 2017,J.Lee+              ## 23181002  #dY:6.6%   
       8.91e-8      1.09e-8         2220          156  # 2017,J.Lee+              ## 23181002  #dY:7.0%   
      1.145e-7      1.45e-8         1790          135  # 2017,J.Lee+              ## 23181002  #dY:7.5%   
      1.475e-7      1.85e-8         1650          140  # 2017,J.Lee+              ## 23181002  #dY:8.5%   
      1.895e-7      2.35e-8         1650          159  # 2017,J.Lee+              ## 23181002  #dY:9.6%   
       2.43e-7         3e-8         2500          277  # 2017,J.Lee+              ## 23181002  #dY:11.1%  
       3.12e-7       3.9e-8         5070          479  # 2017,J.Lee+              ## 23181002  #dY:9.4%   
      4.005e-7      4.95e-8         1060          955  # 2017,J.Lee+              ## 23181002  #dY:90.1%  
       5.14e-7       6.4e-8         1190         1320  # 2017,J.Lee+              ## 23181002  #dY:110.9% 
        6.6e-7       8.2e-8         1330          154  # 2017,J.Lee+              ## 23181002  #dY:11.6%  
      8.475e-7     1.055e-7         5090          109  # 2017,J.Lee+              ## 23181002  #dY:2.1%   
     1.0865e-6     1.335e-7         1500          191  # 2017,J.Lee+              ## 23181002  #dY:12.7%  
      1.395e-6      1.75e-7         2370         31.3  # 2017,J.Lee+              ## 23181002  #dY:1.3%   
      1.795e-6      2.25e-7         2140         27.5  # 2017,J.Lee+              ## 23181002  #dY:1.3%   
      2.305e-6      2.85e-7         1360         19.9  # 2017,J.Lee+              ## 23181002  #dY:1.5%   
       2.96e-6       3.7e-7         6150         47.3  # 2017,J.Lee+              ## 23181002  #dY:0.8%   
        3.8e-6       4.7e-7         1250         80.9  # 2017,J.Lee+              ## 23181002  #dY:6.5%   
      4.875e-6      6.05e-7          164         22.9  # 2017,J.Lee+              ## 23181002  #dY:14.0%  
       6.26e-6       7.8e-7          167         21.7  # 2017,J.Lee+              ## 23181002  #dY:13.0%  
       8.04e-6         1e-6          684         48.8  # 2017,J.Lee+              ## 23181002  #dY:7.1%   
      1.032e-5      1.28e-6          270           26  # 2017,J.Lee+              ## 23181002  #dY:9.6%   
      1.325e-5      1.65e-6          280         25.9  # 2017,J.Lee+              ## 23181002  #dY:9.2%   
        1.7e-5       2.1e-6          224         22.4  # 2017,J.Lee+              ## 23181002  #dY:10.0%  
      2.185e-5      2.75e-6          247           23  # 2017,J.Lee+              ## 23181002  #dY:9.3%   
       2.81e-5       3.5e-6          285         24.6  # 2017,J.Lee+              ## 23181002  #dY:8.6%   
      3.605e-5      4.45e-6          188           19  # 2017,J.Lee+              ## 23181002  #dY:10.1%  
      4.625e-5      5.75e-6          293         24.1  # 2017,J.Lee+              ## 23181002  #dY:8.2%   
       5.94e-5       7.4e-6          144         15.7  # 2017,J.Lee+              ## 23181002  #dY:10.9%  
       7.63e-5       9.5e-6          141         15.3  # 2017,J.Lee+              ## 23181002  #dY:10.9%  
       9.79e-5      1.21e-5          136         14.9  # 2017,J.Lee+              ## 23181002  #dY:11.0%  
     0.0001375      2.75e-5          117         11.6  # 2017,J.Lee+              ## 23181002  #dY:9.9%   
       0.00015         5e-5        120.5       0.8483  # 1976,M.C.Moxon+          ## 20489003  #dY:0.7%   
     0.0002005       1.5e-6         58.2        4.074  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
     0.0002035       1.5e-6         91.3        6.391  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
      0.000207         2e-6          108         7.56  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
      0.000211         2e-6          164        11.48  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
     0.0002145       1.5e-6           80          5.6  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
      0.000218         2e-6         79.9        5.593  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
     0.0002185      5.35e-5         96.9         9.45  # 2017,J.Lee+              ## 23181002  #dY:9.8%   
     0.0002245       4.5e-6         93.9        6.573  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
      0.000226         2e-6         52.5        3.675  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
     0.0002305       2.5e-6         80.6        5.642  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
      0.000235         2e-6         83.3        5.831  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
      0.000239         2e-6          140          9.8  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
