#ZVView-data-copy:  30-May-2023 21:08:26
#=======================================
#
#name:   63-EU-153(N,G)63-EU-154,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  1716
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
      5.644e-9            0        866.9        96.11  # 2018,J.Lee+              ## 23416003  #dY:11.1%  
      7.245e-9            0        758.6        63.37  # 2018,J.Lee+              ## 23416003  #dY:8.4%   
      9.301e-9            0        675.9        48.45  # 2018,J.Lee+              ## 23416003  #dY:7.2%   
     1.0024e-8     7.91e-11        687.7        49.14  # 1975,F.Widder            ## 20437007  #dY:7.1%   
      1.026e-8      8.2e-11       677.61        47.78  # 1975,F.Widder            ## 20437007  #dY:7.1%   
     1.0504e-8    8.505e-11       667.54        44.66  # 1975,F.Widder            ## 20437007  #dY:6.7%   
     1.0757e-8     8.82e-11        657.5        40.28  # 1975,F.Widder            ## 20437007  #dY:6.1%   
     1.1019e-8    9.155e-11       647.51        38.91  # 1975,F.Widder            ## 20437007  #dY:6.0%   
     1.1291e-8     9.51e-11       637.54        37.32  # 1975,F.Widder            ## 20437007  #dY:5.9%   
     1.1573e-8     9.88e-11        627.6        36.25  # 1975,F.Widder            ## 20437007  #dY:5.8%   
     1.1866e-8    1.027e-10       617.71        35.43  # 1975,F.Widder            ## 20437007  #dY:5.7%   
      1.194e-8            0        558.3        36.11  # 2018,J.Lee+              ## 23416003  #dY:6.5%   
      1.217e-8   1.0685e-10       607.84        34.22  # 1975,F.Widder            ## 20437007  #dY:5.6%   
     1.2486e-8    1.112e-10       598.01        31.78  # 1975,F.Widder            ## 20437007  #dY:5.3%   
     1.2815e-8    1.158e-10       588.21         29.6  # 1975,F.Widder            ## 20437007  #dY:5.0%   
     1.3156e-8   1.2065e-10       578.44        28.49  # 1975,F.Widder            ## 20437007  #dY:4.9%   
     1.3512e-8   1.2575e-10       568.72        27.26  # 1975,F.Widder            ## 20437007  #dY:4.8%   
     1.3882e-8    1.312e-10       559.03        26.31  # 1975,F.Widder            ## 20437007  #dY:4.7%   
     1.4267e-8    1.369e-10       549.37        26.04  # 1975,F.Widder            ## 20437007  #dY:4.7%   
     1.4669e-8     1.43e-10       539.75        25.55  # 1975,F.Widder            ## 20437007  #dY:4.7%   
     1.5087e-8    1.494e-10       530.17        24.65  # 1975,F.Widder            ## 20437007  #dY:4.6%   
      1.534e-8            0        477.3         31.9  # 2018,J.Lee+              ## 23416003  #dY:6.7%   
     1.5525e-8   1.5625e-10       520.62        23.75  # 1975,F.Widder            ## 20437007  #dY:4.6%   
     1.5981e-8    1.635e-10       511.11        22.81  # 1975,F.Widder            ## 20437007  #dY:4.5%   
     1.6458e-8    1.712e-10       501.64        22.57  # 1975,F.Widder            ## 20437007  #dY:4.5%   
     1.6956e-8    1.794e-10       492.21        21.72  # 1975,F.Widder            ## 20437007  #dY:4.4%   
     1.7477e-8    1.881e-10       482.81         21.4  # 1975,F.Widder            ## 20437007  #dY:4.4%   
     1.8023e-8    1.974e-10       473.46        20.61  # 1975,F.Widder            ## 20437007  #dY:4.4%   
