#ZVView-data-copy:  30-May-2023 19:01:46
#=======================================
#
#name:   64-GD-155(N,G)64-GD-156,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  71
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
       2.53e-8            0        66000         2000  # 1958,N.J.Pattenden       ## 21325019  #dY:3.0%   
         0.001            0         17.8         1.78  # 1970,M.P.Fricke+         ## 10049023  #dY:10.0%  
      0.001205     0.000105         19.6          1.1  # 1989,Y.Nakajima+         ## 21925002  #dY:5.6%   
       0.00145      0.00014         18.6            1  # 1989,Y.Nakajima+         ## 21925002  #dY:5.4%   
        0.0015            0         15.7            0  # 1970,M.P.Fricke+         ## 10049023             
       0.00178      0.00019         16.1          0.9  # 1989,Y.Nakajima+         ## 21925002  #dY:5.6%   
         0.002            0           13            0  # 1970,M.P.Fricke+         ## 10049023             
      0.002235     0.000265         13.2          0.8  # 1989,Y.Nakajima+         ## 21925002  #dY:6.1%   
         0.003            0         9.65            0  # 1970,M.P.Fricke+         ## 10049023             
      0.003775     0.000295          9.9          0.6  # 1989,Y.Nakajima+         ## 21925002  #dY:6.1%   
         0.004            0         9.01            0  # 1970,M.P.Fricke+         ## 10049023             
      0.004445     0.000375          8.9          0.5  # 1989,Y.Nakajima+         ## 21925002  #dY:5.6%   
       0.00528            0         8.64         1.04  # 1974,V.S.Shorin+         ## 40222005  #dY:12.0%  
      0.005305     0.000485          8.2          0.5  # 1989,Y.Nakajima+         ## 21925002  #dY:6.1%   
         0.006            0         6.74            0  # 1970,M.P.Fricke+         ## 10049023             
       0.00604            0         7.92          0.9  # 1974,V.S.Shorin+         ## 40222005  #dY:11.4%  
      0.006445     0.000655          6.7          0.4  # 1989,Y.Nakajima+         ## 21925002  #dY:6.0%   
       0.00697            0          7.2         0.77  # 1974,V.S.Shorin+         ## 40222005  #dY:10.7%  
       0.00775            0         6.76          0.7  # 1974,V.S.Shorin+         ## 40222005  #dY:10.4%  
         0.008            0         5.43            0  # 1970,M.P.Fricke+         ## 10049023             
         0.008       0.0009            6          0.4  # 1989,Y.Nakajima+         ## 21925002  #dY:6.7%   
        0.0084            0         6.25         0.65  # 1974,V.S.Shorin+         ## 40222005  #dY:10.4%  
       0.00913            0         5.34         0.55  # 1974,V.S.Shorin+         ## 40222005  #dY:10.3%  
       0.00996            0         5.64         0.56  # 1974,V.S.Shorin+         ## 40222005  #dY:9.9%   
          0.01            0         4.98            0  # 1970,M.P.Fricke+         ## 10049023             
        0.0102       0.0013         5.17         0.28  # 1989,Y.Nakajima+         ## 21925002  #dY:5.4%   
        0.0109            0          5.1         0.52  # 1974,V.S.Shorin+         ## 40222005  #dY:10.2%  
         0.012            0         4.41         0.43  # 1974,V.S.Shorin+         ## 40222005  #dY:9.8%   
         0.013            0         4.38            0  # 1970,M.P.Fricke+         ## 10049023             
        0.0133            0         4.78         0.46  # 1974,V.S.Shorin+         ## 40222005  #dY:9.6%   
       0.01345      0.00195         4.43         0.25  # 1989,Y.Nakajima+         ## 21925002  #dY:5.6%   
        0.0147            0         4.44         0.44  # 1974,V.S.Shorin+         ## 40222005  #dY:9.9%   
         0.015            0         3.91            0  # 1970,M.P.Fricke+         ## 10049023             
        0.0165            0         3.92         0.39  # 1974,V.S.Shorin+         ## 40222005  #dY:9.9%   
         0.018            0         3.63            0  # 1970,M.P.Fricke+         ## 10049023             
        0.0185            0         3.67         0.37  # 1974,V.S.Shorin+         ## 40222005  #dY:10.1%  
       0.01855      0.00315         3.73          0.2  # 1989,Y.Nakajima+         ## 21925002  #dY:5.4%   
        0.0202            0         3.46         0.36  # 1974,V.S.Shorin+         ## 40222005  #dY:10.4%  
        0.0213            0         3.33         0.34  # 1974,V.S.Shorin+         ## 40222005  #dY:10.2%  
        0.0224            0         3.27         0.33  # 1974,V.S.Shorin+         ## 40222005  #dY:10.1%  
        0.0225            0         3.37        0.337  # 1970,M.P.Fricke+         ## 10049023  #dY:10.0%  
        0.0237            0         3.18         0.32  # 1974,V.S.Shorin+         ## 40222005  #dY:10.1%  
         0.025            0         3.07         0.31  # 1974,V.S.Shorin+         ## 40222005  #dY:10.1%  
        0.0265            0         2.95         0.29  # 1974,V.S.Shorin+         ## 40222005  #dY:9.8%   
       0.02725      0.00555         3.38         0.18  # 1989,Y.Nakajima+         ## 21925002  #dY:5.3%   
        0.0281            0         2.93         0.29  # 1974,V.S.Shorin+         ## 40222005  #dY:9.9%   
        0.0298            0         2.77         0.27  # 1974,V.S.Shorin+         ## 40222005  #dY:9.7%   
        0.0318            0         2.62         0.26  # 1974,V.S.Shorin+         ## 40222005  #dY:9.9%   
        0.0339            0         2.54         0.24  # 1974,V.S.Shorin+         ## 40222005  #dY:9.4%   
        0.0362            0         2.46         0.23  # 1974,V.S.Shorin+         ## 40222005  #dY:9.3%   
        0.0388            0         2.31         0.22  # 1974,V.S.Shorin+         ## 40222005  #dY:9.5%   
        0.0417            0         2.29         0.22  # 1974,V.S.Shorin+         ## 40222005  #dY:9.6%   
        0.0433       0.0034         2.53         0.16  # 1989,Y.Nakajima+         ## 21925002  #dY:6.3%   
        0.0449            0         2.21         0.21  # 1974,V.S.Shorin+         ## 40222005  #dY:9.5%   
        0.0485            0         2.06          0.2  # 1974,V.S.Shorin+         ## 40222005  #dY:9.7%   
        0.0525            0         2.01         0.19  # 1974,V.S.Shorin+         ## 40222005  #dY:9.5%   
        0.0528       0.0061         2.44         0.15  # 1989,Y.Nakajima+         ## 21925002  #dY:6.1%   
         0.057            0          1.9         0.18  # 1974,V.S.Shorin+         ## 40222005  #dY:9.5%   
        0.0622            0         1.76         0.17  # 1974,V.S.Shorin+         ## 40222005  #dY:9.7%   
       0.06775      0.00885         2.12         0.13  # 1989,Y.Nakajima+         ## 21925002  #dY:6.1%   
        0.0682            0         1.55         0.15  # 1974,V.S.Shorin+         ## 40222005  #dY:9.7%   
       0.09985      0.00415         1.52          0.1  # 1989,Y.Nakajima+         ## 21925002  #dY:6.6%   
        0.1085       0.0045         1.47         0.09  # 1989,Y.Nakajima+         ## 21925002  #dY:6.1%   
         0.118        0.005         1.42         0.09  # 1989,Y.Nakajima+         ## 21925002  #dY:6.3%   
        0.1335       0.0015         1.23         0.07  # 1989,Y.Nakajima+         ## 21925002  #dY:5.7%   
         0.177        0.009         0.88         0.06  # 1989,Y.Nakajima+         ## 21925002  #dY:6.8%   
         0.197        0.011         0.91         0.06  # 1989,Y.Nakajima+         ## 21925002  #dY:6.6%   
        0.2215       0.0135         0.85         0.06  # 1989,Y.Nakajima+         ## 21925002  #dY:7.1%   
           0.5         0.04        0.412        0.054  # 1981,J.Voignier+         ## 21619006  #dY:13.1%  
             1        0.035        0.232        0.026  # 1981,J.Voignier+         ## 21619006  #dY:11.2%  
           2.5         0.03        0.069        0.008  # 1981,J.Voignier+         ## 21619006  #dY:11.6%  
//
#-------------------------------------------------------------------------------
#
#name:   64-GD-155(N,G)64-GD-156,,SIG,,AV
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  43
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
        0.0035       0.0005         9.66            0  # 1988,H.Beer+             ## 12964004             
         0.004        0.001        9.145      0.49383  # 1995,K.Wisshak+          ## 22386010  #dY:5.4%   
         0.005        0.001        7.927            0  # 1988,H.Beer+             ## 12964004             
       0.00625      0.00125        6.388      0.17248  # 1995,K.Wisshak+          ## 22386010  #dY:2.7%   
         0.007        0.001        6.028            0  # 1988,H.Beer+             ## 12964004             
       0.00875      0.00125        5.217      0.12521  # 1995,K.Wisshak+          ## 22386010  #dY:2.4%   
         0.009        0.001        5.178            0  # 1988,H.Beer+             ## 12964004             
       0.01125      0.00125        4.496     0.080928  # 1995,K.Wisshak+          ## 22386010  #dY:1.8%   
        0.0125       0.0025        4.389            0  # 1988,H.Beer+             ## 12964004             
       0.01375      0.00125        3.997     0.063952  # 1995,K.Wisshak+          ## 22386010  #dY:1.6%   
