#ZVView-data-copy:  30-May-2023 20:43:01
#=======================================
#
#name:   64-GD-156(N,2N)64-GD-155,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  14
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          8.44        0.135        0.017        0.014  # 2016,J.Frehaut+          ## 20416103  #dY:82.4%  
          8.94        0.125        0.038        0.012  # 2016,J.Frehaut+          ## 20416103  #dY:31.6%  
          9.44        0.115        0.314        0.026  # 2016,J.Frehaut+          ## 20416103  #dY:8.3%   
          9.93         0.11        0.684        0.055  # 2016,J.Frehaut+          ## 20416103  #dY:8.0%   
         10.42          0.1        0.967        0.061  # 2016,J.Frehaut+          ## 20416103  #dY:6.3%   
         10.91        0.095        1.198        0.074  # 2016,J.Frehaut+          ## 20416103  #dY:6.2%   
          11.4         0.09        1.365        0.089  # 2016,J.Frehaut+          ## 20416103  #dY:6.5%   
         11.88        0.085        1.462        0.085  # 2016,J.Frehaut+          ## 20416103  #dY:5.8%   
         12.36        0.085        1.569        0.097  # 2016,J.Frehaut+          ## 20416103  #dY:6.2%   
         12.85         0.08        1.638        0.137  # 2016,J.Frehaut+          ## 20416103  #dY:8.4%   
         13.33        0.075        1.723        0.121  # 2016,J.Frehaut+          ## 20416103  #dY:7.0%   
          13.8        0.075        1.729        0.135  # 2016,J.Frehaut+          ## 20416103  #dY:7.8%   
         14.28         0.07        1.819         0.14  # 2016,J.Frehaut+          ## 20416103  #dY:7.7%   
         14.76        0.065         1.78        0.138  # 2016,J.Frehaut+          ## 20416103  #dY:7.8%   
//
#-------------------------------------------------------------------------------
#
#name:   64-GD-156(N,P)63-EU-156,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  3
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          13.5          0.2       0.0045       0.0009  # 2010,Junhua Luo+         ## 32680005  #dY:20.0%  
          14.7        0.075        0.015            0  # 1971,E.Havlik            ## 20509012             
          14.8          0.2       0.0056       0.0005  # 2010,Junhua Luo+         ## 32680005  #dY:8.9%   
//
#-------------------------------------------------------------------------------
#
#name:   64-GD-156(N,G)64-GD-157,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  42
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
       2.53e-8            0          1.5          1.2  # 1971,R.Dobrozemsky+      ## 20637008  #dY:80.0%  
        0.0065       0.0015        2.236         0.24  # 1977,V.N.Kononov+        ## 40520021  #dY:10.7%  
          0.01        0.002         1.38        0.142  # 1977,V.N.Kononov+        ## 40520021  #dY:10.3%  
         0.014        0.002        1.057        0.106  # 1977,V.N.Kononov+        ## 40520021  #dY:10.0%  
         0.018        0.002        0.833        0.079  # 1977,V.N.Kononov+        ## 40520021  #dY:9.5%   
         0.022        0.002        0.731        0.067  # 1977,V.N.Kononov+        ## 40520021  #dY:9.2%   
         0.026        0.002        0.636        0.051  # 1977,V.N.Kononov+        ## 40520021  #dY:8.0%   
          0.03        0.002        0.606         0.05  # 1977,V.N.Kononov+        ## 40520021  #dY:8.3%   
         0.034        0.002         0.56        0.046  # 1977,V.N.Kononov+        ## 40520021  #dY:8.2%   
         0.038        0.002        0.533        0.044  # 1977,V.N.Kononov+        ## 40520021  #dY:8.3%   
         0.042        0.002        0.512        0.042  # 1977,V.N.Kononov+        ## 40520021  #dY:8.2%   
         0.046        0.002         0.49         0.04  # 1977,V.N.Kononov+        ## 40520021  #dY:8.2%   
          0.05        0.002        0.471        0.039  # 1977,V.N.Kononov+        ## 40520021  #dY:8.3%   
         0.054        0.002        0.451        0.037  # 1977,V.N.Kononov+        ## 40520021  #dY:8.2%   
         0.058        0.002        0.438        0.036  # 1977,V.N.Kononov+        ## 40520021  #dY:8.2%   
        0.0625       0.0025        0.426        0.035  # 1977,V.N.Kononov+        ## 40520021  #dY:8.2%   
        0.0675       0.0025          0.4        0.033  # 1977,V.N.Kononov+        ## 40520021  #dY:8.2%   
        0.0725       0.0025        0.391        0.032  # 1977,V.N.Kononov+        ## 40520021  #dY:8.2%   
        0.0775       0.0025        0.393        0.032  # 1977,V.N.Kononov+        ## 40520021  #dY:8.1%   
         0.084        0.004        0.373         0.03  # 1977,V.N.Kononov+        ## 40520021  #dY:8.0%   
         0.092        0.004        0.338        0.028  # 1977,V.N.Kononov+        ## 40520021  #dY:8.3%   
           0.1        0.004        0.322        0.026  # 1977,V.N.Kononov+        ## 40520021  #dY:8.1%   
         0.108        0.004        0.316        0.026  # 1977,V.N.Kononov+        ## 40520021  #dY:8.2%   
         0.116        0.004        0.311        0.026  # 1977,V.N.Kononov+        ## 40520021  #dY:8.4%   
         0.124        0.004        0.301        0.024  # 1977,V.N.Kononov+        ## 40520021  #dY:8.0%   
         0.132        0.004        0.299        0.024  # 1977,V.N.Kononov+        ## 40520021  #dY:8.0%   
          0.14        0.004         0.29        0.022  # 1977,V.N.Kononov+        ## 40520021  #dY:7.6%   
         0.148        0.004        0.269        0.022  # 1977,V.N.Kononov+        ## 40520021  #dY:8.2%   
         0.156        0.004        0.265        0.022  # 1977,V.N.Kononov+        ## 40520021  #dY:8.3%   
         0.164        0.004         0.25        0.021  # 1977,V.N.Kononov+        ## 40520021  #dY:8.4%   
         0.172        0.004        0.229        0.019  # 1977,V.N.Kononov+        ## 40520021  #dY:8.3%   
          0.18        0.004        0.216        0.018  # 1977,V.N.Kononov+        ## 40520021  #dY:8.3%   
         0.188        0.004        0.201        0.017  # 1977,V.N.Kononov+        ## 40520021  #dY:8.5%   
         0.196        0.004        0.187        0.016  # 1977,V.N.Kononov+        ## 40520021  #dY:8.6%   
         0.215        0.015        0.181        0.015  # 1977,V.N.Kononov+        ## 40520021  #dY:8.3%   
         0.245        0.015        0.174        0.015  # 1977,V.N.Kononov+        ## 40520021  #dY:8.6%   
         0.275        0.015        0.168        0.014  # 1977,V.N.Kononov+        ## 40520021  #dY:8.3%   
         0.305        0.015        0.161        0.014  # 1977,V.N.Kononov+        ## 40520021  #dY:8.7%   
         0.335        0.015         0.15        0.013  # 1977,V.N.Kononov+        ## 40520021  #dY:8.7%   
           0.5         0.04        0.216        0.027  # 1981,J.Voignier+         ## 21619007  #dY:12.5%  
             1        0.035        0.211        0.024  # 1981,J.Voignier+         ## 21619007  #dY:11.4%  
           2.5         0.03        0.078        0.009  # 1981,J.Voignier+         ## 21619007  #dY:11.5%  
//
#-------------------------------------------------------------------------------
#
#name:   64-GD-156(N,A)62-SM-153,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  3
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          14.2          0.1       0.0085       0.0013  # 1969,P.Rama Prasad+      ## 30051015  #dY:15.3%  
          14.5            0      0.00322     0.000483  # 1959,R.F.Coleman+        ## 21440019  #dY:15.0%  
          14.7          0.3       0.0031        0.001  # 1984,S.M.Qaim            ## 21997007  #dY:32.3%  
//
#-------------------------------------------------------------------------------
#
#name:   64-GD-156(N,G)64-GD-157,,SIG,,AV
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  24
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         0.004        0.001        1.949      0.10914  # 1995,K.Wisshak+          ## 22386011  #dY:5.6%   
       0.00625      0.00125        1.401     0.040629  # 1995,K.Wisshak+          ## 22386011  #dY:2.9%   
       0.00875      0.00125        1.158      0.02895  # 1995,K.Wisshak+          ## 22386011  #dY:2.5%   
       0.01125      0.00125       0.9383     0.018766  # 1995,K.Wisshak+          ## 22386011  #dY:2.0%   
       0.01375      0.00125       0.8263     0.014047  # 1995,K.Wisshak+          ## 22386011  #dY:1.7%   
        0.0175       0.0025       0.7511    0.0082621  # 1995,K.Wisshak+          ## 22386011  #dY:1.1%   
          0.02        0.005        0.699     0.037047  # 2007,W.-Ch.Chung+        ## 23080002  #dY:5.3%   
        0.0225       0.0025       0.6805    0.0061245  # 1995,K.Wisshak+          ## 22386011  #dY:0.9%   
        0.0275       0.0025       0.6112    0.0048896  # 1995,K.Wisshak+          ## 22386011  #dY:0.8%   
          0.03        0.005        0.544     0.025024  # 2007,W.-Ch.Chung+        ## 23080002  #dY:4.6%   
         0.035        0.005       0.5626    0.0033756  # 1995,K.Wisshak+          ## 22386011  #dY:0.6%   
          0.04        0.005        0.497     0.022365  # 2007,W.-Ch.Chung+        ## 23080002  #dY:4.5%   
         0.045        0.005       0.5283    0.0031698  # 1995,K.Wisshak+          ## 22386011  #dY:0.6%   
          0.05        0.005        0.452     0.021244  # 2007,W.-Ch.Chung+        ## 23080002  #dY:4.7%   
         0.055        0.005       0.4775     0.002865  # 1995,K.Wisshak+          ## 22386011  #dY:0.6%   
          0.06        0.005        0.427     0.020923  # 2007,W.-Ch.Chung+        ## 23080002  #dY:4.9%   
          0.07         0.01       0.4127    0.0020635  # 1995,K.Wisshak+          ## 22386011  #dY:0.5%   
        0.0815       0.0165        0.374     0.017952  # 2007,W.-Ch.Chung+        ## 23080002  #dY:4.8%   
          0.09         0.01       0.3531    0.0017655  # 1995,K.Wisshak+          ## 22386011  #dY:0.5%   
          0.11         0.01       0.3079    0.0018474  # 1995,K.Wisshak+          ## 22386011  #dY:0.6%   
         0.135        0.015       0.2607    0.0023463  # 1995,K.Wisshak+          ## 22386011  #dY:0.9%   
        0.1625       0.0125       0.2306     0.002306  # 1995,K.Wisshak+          ## 22386011  #dY:1.0%   
        0.1875       0.0125       0.2049    0.0022539  # 1995,K.Wisshak+          ## 22386011  #dY:1.1%   
