#ZVView-data-copy:  27-May-2023 01:11:30
#=======================================
#
#name:   64-GD-158(N,G)64-GD-159,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  190
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
       2.53e-8            0         2.15      0.12449  # 2014,M.Karadag+          ## 23202002  #dY:5.8%   
       2.53e-8            0         2.22         0.02  # 2014,F.Farina Arbocco+   ## 23260119  #dY:0.9%   
       2.53e-8            0         2.22            0  # 2014,F.Farina Arbocco+   ## 23260120             
       2.53e-8            0          3.1            0  # 1988,F.De Corte+         ## 23488070             
        0.0049      0.00175          1.2         0.11  # 1968,D.C.Stupegia+       ## 11624010  #dY:9.2%   
        0.0055       0.0005        0.908        0.136  # 1991,M.V.Bokhovko+       ## 41225003  #dY:15.0%  
        0.0055       0.0005        0.908        0.136  # 1993,M.V.Bokhovko+       ## Y0075003  #dY:15.0%  
        0.0065       0.0015        1.544        0.374  # 1977,V.N.Kononov+        ## 40520022  #dY:24.2%  
        0.0065       0.0005        0.816         0.08  # 1991,M.V.Bokhovko+       ## 41225003  #dY:9.8%   
        0.0065       0.0005        0.816         0.08  # 1993,M.V.Bokhovko+       ## Y0075003  #dY:9.8%   
        0.0075       0.0005        0.676        0.065  # 1991,M.V.Bokhovko+       ## 41225003  #dY:9.6%   
        0.0075       0.0005        0.676        0.065  # 1993,M.V.Bokhovko+       ## Y0075003  #dY:9.6%   
        0.0085       0.0005        0.562        0.047  # 1991,M.V.Bokhovko+       ## 41225003  #dY:8.4%   
        0.0085       0.0005        0.562        0.047  # 1993,M.V.Bokhovko+       ## Y0075003  #dY:8.4%   
        0.0095       0.0005        0.698        0.047  # 1991,M.V.Bokhovko+       ## 41225003  #dY:6.7%   
        0.0095       0.0005        0.698        0.047  # 1993,M.V.Bokhovko+       ## Y0075003  #dY:6.7%   
          0.01        0.002        0.929        0.159  # 1977,V.N.Kononov+        ## 40520022  #dY:17.1%  
         0.011        0.001        0.559        0.036  # 1991,M.V.Bokhovko+       ## 41225003  #dY:6.4%   
         0.011        0.001        0.559        0.036  # 1993,M.V.Bokhovko+       ## Y0075003  #dY:6.4%   
        0.0122       0.0012        0.869         0.08  # 1968,D.C.Stupegia+       ## 11624010  #dY:9.2%   
         0.013        0.001        0.575        0.033  # 1991,M.V.Bokhovko+       ## 41225003  #dY:5.7%   
         0.013        0.001        0.575        0.033  # 1993,M.V.Bokhovko+       ## Y0075003  #dY:5.7%   
         0.014        0.002         0.73        0.112  # 1977,V.N.Kononov+        ## 40520022  #dY:15.3%  
         0.015        0.001        0.483        0.028  # 1991,M.V.Bokhovko+       ## 41225003  #dY:5.8%   
         0.015        0.001        0.483        0.028  # 1993,M.V.Bokhovko+       ## Y0075003  #dY:5.8%   
         0.017        0.001        0.475        0.026  # 1991,M.V.Bokhovko+       ## 41225003  #dY:5.5%   
         0.017        0.001        0.475        0.026  # 1993,M.V.Bokhovko+       ## Y0075003  #dY:5.5%   
         0.018        0.002        0.608        0.083  # 1977,V.N.Kononov+        ## 40520022  #dY:13.7%  
         0.019        0.001        0.425        0.023  # 1991,M.V.Bokhovko+       ## 41225003  #dY:5.4%   
         0.019        0.001        0.425        0.023  # 1993,M.V.Bokhovko+       ## Y0075003  #dY:5.4%   
         0.021        0.001        0.437        0.024  # 1991,M.V.Bokhovko+       ## 41225003  #dY:5.5%   
