#ZVView-data-copy:  30-May-2023 20:49:41
#=======================================
#
#name:   64-GD-160(N,G)64-GD-161,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  200
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
       2.53e-8            0         1.51            0  # 1988,F.De Corte+         ## 23488071             
         0.005        0.001        0.281        0.078  # 1972,L.R.Fawcett+        ## 10298004  #dY:27.8%  
        0.0055       0.0005        0.799        0.104  # 1991,M.V.Bokhovko+       ## 41225005  #dY:13.0%  
        0.0055       0.0005        0.799        0.104  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:13.0%  
        0.0065       0.0015        0.587        0.102  # 1977,V.N.Kononov+        ## 40520023  #dY:17.4%  
        0.0065       0.0005        0.577        0.069  # 1991,M.V.Bokhovko+       ## 41225005  #dY:12.0%  
        0.0065       0.0005        0.577        0.069  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:12.0%  
        0.0075       0.0005        0.654        0.066  # 1991,M.V.Bokhovko+       ## 41225005  #dY:10.1%  
        0.0075       0.0005        0.654        0.066  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:10.1%  
        0.0085       0.0005        0.523        0.045  # 1991,M.V.Bokhovko+       ## 41225005  #dY:8.6%   
        0.0085       0.0005        0.523        0.045  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:8.6%   
        0.0095       0.0005        0.376        0.026  # 1991,M.V.Bokhovko+       ## 41225005  #dY:6.9%   
        0.0095       0.0005        0.376        0.026  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:6.9%   
          0.01            0        0.145            0  # 1972,L.R.Fawcett+        ## 10298004             
          0.01        0.002        0.406        0.065  # 1977,V.N.Kononov+        ## 40520023  #dY:16.0%  
         0.011        0.001        0.397        0.025  # 1991,M.V.Bokhovko+       ## 41225005  #dY:6.3%   
         0.011        0.001        0.397        0.025  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:6.3%   
         0.013        0.001        0.381        0.022  # 1991,M.V.Bokhovko+       ## 41225005  #dY:5.8%   
         0.013        0.001        0.381        0.022  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:5.8%   
         0.014        0.002        0.357        0.052  # 1977,V.N.Kononov+        ## 40520023  #dY:14.6%  
         0.015            0        0.112            0  # 1972,L.R.Fawcett+        ## 10298004             
         0.015        0.001        0.346         0.02  # 1991,M.V.Bokhovko+       ## 41225005  #dY:5.8%   
         0.015        0.001        0.346         0.02  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:5.8%   
         0.017        0.001         0.31        0.017  # 1991,M.V.Bokhovko+       ## 41225005  #dY:5.5%   
         0.017        0.001         0.31        0.017  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:5.5%   
         0.018        0.002        0.291        0.039  # 1977,V.N.Kononov+        ## 40520023  #dY:13.4%  
         0.019        0.001        0.268        0.014  # 1991,M.V.Bokhovko+       ## 41225005  #dY:5.2%   
         0.019        0.001        0.268        0.014  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:5.2%   
          0.02            0       0.0875            0  # 1972,L.R.Fawcett+        ## 10298004             
         0.021        0.001        0.265        0.014  # 1991,M.V.Bokhovko+       ## 41225005  #dY:5.3%   
         0.021        0.001        0.265        0.014  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:5.3%   
         0.022        0.002         0.28        0.033  # 1977,V.N.Kononov+        ## 40520023  #dY:11.8%  
         0.023       0.0025         0.29        0.041  # 1974,K.Siddappa+         ## 30502007  #dY:14.1%  
         0.023        0.001        0.234        0.013  # 1991,M.V.Bokhovko+       ## 41225005  #dY:5.6%   
         0.023        0.001        0.234        0.013  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:5.6%   
         0.024            0         0.11         0.02  # 1966,A.K.Chaubey+        ## 30079034  #dY:18.2%  
         0.025       0.0015        0.076        0.023  # 1972,L.R.Fawcett+        ## 10298004  #dY:30.3%  
         0.025       0.0025        0.015        0.007  # 1972,B.V.Thirumala Rao   ## 30501010  #dY:46.7%  
         0.025        0.001        0.234        0.013  # 1991,M.V.Bokhovko+       ## 41225005  #dY:5.6%   
         0.025        0.001        0.234        0.013  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:5.6%   
         0.026        0.002        0.227        0.044  # 1977,V.N.Kononov+        ## 40520023  #dY:19.4%  
         0.027        0.001        0.204        0.011  # 1991,M.V.Bokhovko+       ## 41225005  #dY:5.4%   
         0.027        0.001        0.204        0.011  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:5.4%   
          0.03            0        0.071            0  # 1972,L.R.Fawcett+        ## 10298004             
          0.03        0.002          0.2        0.018  # 1977,V.N.Kononov+        ## 40520023  #dY:9.0%   
          0.03        0.002        0.195        0.011  # 1991,M.V.Bokhovko+       ## 41225005  #dY:5.6%   
          0.03        0.002        0.195        0.011  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:5.6%   
         0.034        0.002        0.173        0.015  # 1977,V.N.Kononov+        ## 40520023  #dY:8.7%   
         0.034        0.002        0.187         0.01  # 1991,M.V.Bokhovko+       ## 41225005  #dY:5.3%   
         0.034        0.002        0.187         0.01  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:5.3%   
         0.038        0.002        0.162        0.014  # 1977,V.N.Kononov+        ## 40520023  #dY:8.6%   
         0.038        0.002        0.167        0.009  # 1991,M.V.Bokhovko+       ## 41225005  #dY:5.4%   
         0.038        0.002        0.167        0.009  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:5.4%   
          0.04            0       0.0577            0  # 1972,L.R.Fawcett+        ## 10298004             
         0.042        0.002        0.155        0.014  # 1977,V.N.Kononov+        ## 40520023  #dY:9.0%   
         0.042        0.002        0.174        0.009  # 1991,M.V.Bokhovko+       ## 41225005  #dY:5.2%   
         0.042        0.002        0.174        0.009  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:5.2%   
         0.046        0.002        0.146        0.013  # 1977,V.N.Kononov+        ## 40520023  #dY:8.9%   
