#ZVView-data-copy:  30-May-2023 21:34:47
#=======================================
#
#name:   29-CU-63(N,A)27-CO-60,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  133
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          3.56        0.044       3.9e-5         2e-5  # 1980,G.Winkler+          ## 10921002  #dY:51.3%  
           3.8        0.081     0.000132       1.8e-5  # 1980,G.Winkler+          ## 10921002  #dY:13.6%  
           3.8        0.082       0.0001       2.2e-5  # 1980,G.Winkler+          ## 10921002  #dY:22.0%  
         4.065        0.041     0.000281       2.1e-5  # 1980,G.Winkler+          ## 10921002  #dY:7.5%   
         4.361        0.041     0.000536       3.7e-5  # 1980,G.Winkler+          ## 10921002  #dY:6.9%   
         4.656        0.042     0.000802       5.5e-5  # 1980,G.Winkler+          ## 10921002  #dY:6.9%   
         4.954        0.043     0.001288       8.3e-5  # 1980,G.Winkler+          ## 10921002  #dY:6.4%   
             5         0.16      0.00169      0.00017  # 2014,Yu.M.Gledenov+      ## 32748003  #dY:10.1%  
          5.12         0.12      0.00201      0.00018  # 1980,G.Winkler+          ## 10921003  #dY:9.0%   
         5.185        0.122       0.0021      0.00019  # 1980,G.Winkler+          ## 10921003  #dY:9.0%   
         5.268        0.045      0.00212       0.0002  # 1980,G.Winkler+          ## 10921002  #dY:9.4%   
         5.455        0.104      0.00302      0.00027  # 1980,G.Winkler+          ## 10921003  #dY:8.9%   
           5.5         0.14       0.0034      0.00032  # 2014,Yu.M.Gledenov+      ## 32748003  #dY:9.4%   
         5.677        0.104      0.00403      0.00026  # 1980,G.Winkler+          ## 10921003  #dY:6.5%   
          5.76         0.04      0.00075         6e-5  # 1967,A.Paulsen+          ## 20388004  #dY:8.0%   
          5.86        0.097       0.0049       0.0003  # 1980,G.Winkler+          ## 10921003  #dY:6.1%   
         5.865        0.096      0.00499      0.00036  # 1980,G.Winkler+          ## 10921003  #dY:7.2%   
             6         0.12      0.00501      0.00047  # 2014,Yu.M.Gledenov+      ## 32748003  #dY:9.4%   
         6.074        0.095      0.00613      0.00037  # 1980,G.Winkler+          ## 10921003  #dY:6.0%   
          6.09        0.085       0.0026       0.0016  # 1967,A.Paulsen+          ## 20388004  #dY:61.5%  
          6.28        0.095       0.0045       0.0012  # 1967,A.Paulsen+          ## 20388004  #dY:26.7%  
         6.349         0.09      0.00792      0.00048  # 1980,G.Winkler+          ## 10921003  #dY:6.1%   
         6.396        0.089      0.00879      0.00058  # 1980,G.Winkler+          ## 10921003  #dY:6.6%   
          6.49        0.105       0.0073        0.001  # 1967,A.Paulsen+          ## 20388004  #dY:13.7%  
           6.5          0.1      0.00835       0.0008  # 2014,Yu.M.Gledenov+      ## 32748003  #dY:9.6%   
           6.6        0.088      0.00934      0.00056  # 1980,G.Winkler+          ## 10921003  #dY:6.0%   
          6.73        0.115       0.0069       0.0016  # 1967,A.Paulsen+          ## 20388004  #dY:23.2%  
         6.844        0.087      0.01077      0.00065  # 1980,G.Winkler+          ## 10921003  #dY:6.0%   
         6.913        0.086      0.01198      0.00092  # 1980,G.Winkler+          ## 10921003  #dY:7.7%   
          6.98         0.12       0.0095       0.0015  # 1967,A.Paulsen+          ## 20388004  #dY:15.8%  
         7.093        0.086      0.01216      0.00074  # 1980,G.Winkler+          ## 10921003  #dY:6.1%   
          7.24         0.12        0.012       0.0012  # 1967,A.Paulsen+          ## 20388004  #dY:10.0%  
          7.42        0.086      0.01416      0.00095  # 1980,G.Winkler+          ## 10921003  #dY:6.7%   
          7.49        0.115        0.012       0.0015  # 1967,A.Paulsen+          ## 20388004  #dY:12.5%  
          7.73         0.11       0.0159       0.0014  # 1967,A.Paulsen+          ## 20388004  #dY:8.8%   
          7.92        0.089       0.0182      0.00124  # 1980,G.Winkler+          ## 10921003  #dY:6.8%   
          7.94         0.12       0.0176       0.0015  # 1967,A.Paulsen+          ## 20388004  #dY:8.5%   
          8.12        0.125       0.0178       0.0014  # 1967,A.Paulsen+          ## 20388004  #dY:7.9%   
          8.19         0.35        0.019       0.0014  # 1967,A.Paulsen           ## 20390010  #dY:7.4%   
          8.25         0.13       0.0181       0.0013  # 1967,A.Paulsen+          ## 20388004  #dY:7.2%   
         8.413        0.097       0.0212       0.0014  # 1980,G.Winkler+          ## 10921003  #dY:6.6%   
         8.428        0.098       0.0207       0.0013  # 1980,G.Winkler+          ## 10921003  #dY:6.3%   
          8.46        0.075       0.0238       0.0019  # 1967,A.Paulsen+          ## 20388004  #dY:8.0%   
          8.67          0.1       0.0302       0.0025  # 1967,A.Paulsen+          ## 20388004  #dY:8.3%   
         8.902        0.104        0.025       0.0017  # 1980,G.Winkler+          ## 10921003  #dY:6.8%   
