#ZVView-data-copy:  30-May-2023 21:38:21
#=======================================
#
#name:   29-CU-65(N,2N)29-CU-64,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  250
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         10.13         0.11        0.007        0.004  # 1966,D.C.Santry+         ## 11776006  #dY:57.1%  
        10.209        0.055       0.0041    0.0010311  # 2007,W.Mannhart+         ## 22976027  #dY:25.1%  
         10.37        0.055      0.01332    0.0010749  # 2007,W.Mannhart+         ## 22976027  #dY:8.1%   
          10.4         0.11        0.018        0.002  # 1966,D.C.Santry+         ## 11776006  #dY:11.1%  
          10.5         0.11        0.036        0.005  # 1966,D.C.Santry+         ## 11776006  #dY:13.9%  
         10.62         0.11        0.077        0.005  # 1966,D.C.Santry+         ## 11776006  #dY:6.5%   
          10.8        0.054      0.08137    0.0028561  # 2007,W.Mannhart+         ## 22976027  #dY:3.5%   
         10.81         0.11        0.085        0.005  # 1966,D.C.Santry+         ## 11776006  #dY:5.9%   
         10.91        0.095        0.096        0.012  # 2016,J.Frehaut+          ## 20416082  #dY:12.5%  
            11         0.11        0.168        0.007  # 1966,D.C.Santry+         ## 11776006  #dY:4.2%   
        11.103        0.054       0.1703    0.0054496  # 2007,W.Mannhart+         ## 22976027  #dY:3.2%   
         11.19       0.0535       0.1865     0.007087  # 2007,W.Mannhart+         ## 22976027  #dY:3.8%   
         11.22         0.11        0.206        0.014  # 1966,D.C.Santry+         ## 11776006  #dY:6.8%   
        11.293       0.0535       0.2198    0.0069017  # 2007,W.Mannhart+         ## 22976027  #dY:3.1%   
          11.4         0.09        0.248        0.021  # 2016,J.Frehaut+          ## 20416082  #dY:8.5%   
        11.495        0.053       0.2672     0.011196  # 2007,W.Mannhart+         ## 22976027  #dY:4.2%   
          11.5         0.11        0.305        0.018  # 1966,D.C.Santry+         ## 11776006  #dY:5.9%   
        11.551        0.053       0.2921    0.0091135  # 2007,W.Mannhart+         ## 22976027  #dY:3.1%   
         11.61         0.11        0.377         0.02  # 1966,D.C.Santry+         ## 11776006  #dY:5.3%   
        11.686        0.053       0.3302     0.011623  # 2007,W.Mannhart+         ## 22976027  #dY:3.5%   
         11.88        0.085        0.361         0.03  # 2016,J.Frehaut+          ## 20416082  #dY:8.3%   
        11.909       0.0525       0.3837     0.013813  # 2007,W.Mannhart+         ## 22976027  #dY:3.6%   
            12         0.11        0.456        0.024  # 1966,D.C.Santry+         ## 11776006  #dY:5.3%   
         12.06         0.11        0.504        0.025  # 1961,R.J.Prestwood+      ## 11645007  #dY:5.0%   
          12.1         0.11         0.49        0.025  # 1966,D.C.Santry+         ## 11776006  #dY:5.1%   
        12.207       0.0525       0.5015     0.020963  # 2007,W.Mannhart+         ## 22976027  #dY:4.2%   
         12.36        0.085        0.486        0.035  # 2016,J.Frehaut+          ## 20416082  #dY:7.2%   
        12.464       0.0525       0.5668     0.018818  # 2007,W.Mannhart+         ## 22976027  #dY:3.3%   
        12.496       0.0525       0.5745     0.021371  # 2007,W.Mannhart+         ## 22976027  #dY:3.7%   
          12.6         0.12        0.651         0.03  # 1966,D.C.Santry+         ## 11776006  #dY:4.6%   
          12.6          0.1        0.669            0  # 1962,L.A.Rayburn         ## 11780003             
          12.6        0.055        0.653        0.046  # 1965,A.Paulsen+          ## 20386003  #dY:7.0%   
         12.69        0.052       0.6153     0.022581  # 2007,W.Mannhart+         ## 22976027  #dY:3.7%   
          12.7          0.1        0.673            0  # 1962,L.A.Rayburn         ## 11780003             
         12.76         0.07        0.672        0.047  # 1965,A.Paulsen+          ## 20386003  #dY:7.0%   
         12.85         0.08        0.647        0.048  # 2016,J.Frehaut+          ## 20416082  #dY:7.4%   
        12.967        0.052        0.664     0.026759  # 2007,W.Mannhart+         ## 22976027  #dY:4.0%   
         12.98        0.085        0.747        0.052  # 1965,A.Paulsen+          ## 20386003  #dY:7.0%   
         13.06            0         0.81       0.1215  # 1967,J.Csikai+           ## 30033009  #dY:15.0%  
         13.08         0.12        0.775         0.05  # 1966,D.C.Santry+         ## 11776006  #dY:6.5%   
        13.094        0.052       0.7033     0.024686  # 2007,W.Mannhart+         ## 22976027  #dY:3.5%   
          13.1         0.15        0.873            0  # 1962,L.A.Rayburn         ## 11780003             
          13.1         0.09        0.758        0.053  # 1965,A.Paulsen+          ## 20386003  #dY:7.0%   
        13.177        0.052       0.7062     0.029378  # 2007,W.Mannhart+         ## 22976027  #dY:4.2%   
          13.2            0         1.25         0.13  # 1960,J.H.Mc Crary+       ## 11268005  #dY:10.4%  
          13.2         0.15        0.766       0.0766  # 1963,M.Bormann+          ## 21343004  #dY:10.0%  
         13.21         0.21        0.809        0.055  # 1969,M.Bormann+          ## 20835005  #dY:6.8%   
         13.33         0.23        0.778        0.031  # 1961,R.J.Prestwood+      ## 11645007  #dY:4.0%   
         13.33        0.075        0.744        0.053  # 2016,J.Frehaut+          ## 20416082  #dY:7.1%   
         13.33            0        0.751        0.049  # 1988,Y.Ikeda+            ## 22089050  #dY:6.5%   
         13.38        0.105        0.827        0.058  # 1965,A.Paulsen+          ## 20386003  #dY:7.0%   
        13.395        0.052       0.7853      0.02882  # 2007,W.Mannhart+         ## 22976027  #dY:3.7%   
          13.4          0.2        0.771        0.031  # 1961,R.J.Prestwood+      ## 11645007  #dY:4.0%   
          13.4         0.15        0.836            0  # 1962,L.A.Rayburn         ## 11780003             
          13.4            0         0.76         0.01  # 1994,Y.Ikeda+            ## 22547004  #dY:1.3%   
          13.5         0.15        0.821            0  # 1962,L.A.Rayburn         ## 11780003             
          13.5            0         0.84         0.05  # 1982,J.Csikai            ## 30640006  #dY:6.0%   
         13.52         0.15        0.814        0.033  # 1961,R.J.Prestwood+      ## 11645007  #dY:4.1%   
        13.531        0.052       0.8076     0.033192  # 2007,W.Mannhart+         ## 22976027  #dY:4.1%   
         13.54         0.11        0.855         0.06  # 1965,A.Paulsen+          ## 20386003  #dY:7.0%   
         13.55         0.06        0.841        0.054  # 1980,P.N.Ngoc+           ## 30562018  #dY:6.4%   
         13.56            0        0.834     0.048789  # 2016,A.A.Filatenkov      ## 41614032  #dY:5.8%   
         13.57            0        0.803        0.052  # 1988,Y.Ikeda+            ## 22089050  #dY:6.5%   
         13.58         0.12        0.863         0.06  # 1966,D.C.Santry+         ## 11776006  #dY:7.0%   
         13.58        0.045        0.874        0.026  # 1966,D.C.Santry+         ## 11776007  #dY:3.0%   
         13.59            0         1.36         0.14  # 1960,J.H.Mc Crary+       ## 11268005  #dY:10.3%  
          13.6            0          0.8         0.02  # 1994,Y.Ikeda+            ## 22547004  #dY:2.5%   
         13.69          0.1         0.83        0.033  # 1961,R.J.Prestwood+      ## 11645007  #dY:4.0%   
        13.692         0.13       0.8234       0.0206  # 1983,G.Winkler+          ## 21912002  #dY:2.5%   
        13.699        0.052       0.8236     0.034756  # 2007,W.Mannhart+         ## 22976027  #dY:4.2%   
          13.7         0.02        0.841        0.055  # 1968,P.Cuzzocrea+        ## 20890006  #dY:6.5%   
         13.74            0        0.865     0.036762  # 2016,A.A.Filatenkov      ## 41614032  #dY:4.2%   
        13.745         0.02        0.827        0.054  # 1968,P.Cuzzocrea+        ## 20890006  #dY:6.5%   
         13.75            0        0.809        0.052  # 1988,Y.Ikeda+            ## 22089050  #dY:6.4%   
         13.77         0.02        0.866        0.056  # 1968,P.Cuzzocrea+        ## 20890006  #dY:6.5%   
         13.77         0.06        0.853        0.054  # 1980,P.N.Ngoc+           ## 30562018  #dY:6.3%   
         13.77            0        0.862        0.052  # 1982,J.Csikai            ## 30640006  #dY:6.0%   
        13.795         0.02        0.924         0.06  # 1968,P.Cuzzocrea+        ## 20890006  #dY:6.5%   
          13.8        0.075        0.811        0.052  # 2016,J.Frehaut+          ## 20416082  #dY:6.4%   
          13.8            0         0.82         0.01  # 1994,Y.Ikeda+            ## 22547004  #dY:1.2%   
         13.82         0.02        0.854        0.056  # 1968,P.Cuzzocrea+        ## 20890006  #dY:6.6%   
        13.845         0.02        0.891        0.058  # 1968,P.Cuzzocrea+        ## 20890006  #dY:6.5%   
         13.85            0         1.42         0.14  # 1960,J.H.Mc Crary+       ## 11268005  #dY:9.9%   
         13.87         0.02        0.847        0.055  # 1968,P.Cuzzocrea+        ## 20890006  #dY:6.5%   
         13.88          0.1        0.879        0.035  # 1961,R.J.Prestwood+      ## 11645007  #dY:4.0%   
         13.88         0.12        0.909        0.064  # 1965,A.Paulsen+          ## 20386003  #dY:7.0%   
         13.89         0.04        0.909        0.027  # 1966,D.C.Santry+         ## 11776007  #dY:3.0%   
        13.895         0.02        0.863        0.056  # 1968,P.Cuzzocrea+        ## 20890006  #dY:6.5%   
          13.9            0        0.922        0.052  # 1994,N.I.Molla+          ## 31449009  #dY:5.6%   
         13.92         0.02        0.882        0.057  # 1968,P.Cuzzocrea+        ## 20890006  #dY:6.5%   
         13.95         0.02        0.906        0.059  # 1968,P.Cuzzocrea+        ## 20890006  #dY:6.5%   
         13.96            0        0.921     0.061983  # 2016,A.A.Filatenkov      ## 41614032  #dY:6.7%   
        13.967        0.052        0.846     0.032909  # 2007,W.Mannhart+         ## 22976027  #dY:3.9%   
        13.975         0.02        0.917         0.06  # 1968,P.Cuzzocrea+        ## 20890006  #dY:6.5%   
         13.98            0        0.839        0.054  # 1988,Y.Ikeda+            ## 22089050  #dY:6.4%   
        13.984        0.052       0.8368     0.037238  # 2007,W.Mannhart+         ## 22976027  #dY:4.5%   
            14         0.02        0.895        0.058  # 1968,P.Cuzzocrea+        ## 20890006  #dY:6.5%   
            14            0         0.84         0.01  # 1994,Y.Ikeda+            ## 22547004  #dY:1.2%   
            14            0        0.826       0.0624  # 2007,M.A.Hafiz           ## 31598003  #dY:7.6%   
         14.01          0.1        0.879        0.035  # 1961,R.J.Prestwood+      ## 11645007  #dY:4.0%   
        14.025         0.02        0.908        0.059  # 1968,P.Cuzzocrea+        ## 20890006  #dY:6.5%   
         14.05        0.125        0.893        0.063  # 1965,A.Paulsen+          ## 20386003  #dY:7.1%   
        14.055         0.02        0.882        0.057  # 1968,P.Cuzzocrea+        ## 20890006  #dY:6.5%   
